SA4_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
101,11,8,275,28,22,28,61,77,222,258,229,85,70,35,59,1184,20,11,12,23,31,90,78,67,26,34,13,31,444,55,35,34,44,80,187,158,114,40,36,19,56,869,114,71,75,151,214,546,558,463,182,162,78,162,2775,1012,469,440,854,1208,3513,4091,5337,3038,2724,1566,1238,25487
102,17,27,495,61,23,23,57,86,271,386,493,232,146,51,125,1959,20,14,20,34,41,134,176,181,66,52,32,40,814,113,52,58,77,124,314,354,312,145,64,43,148,1800,206,99,112,182,272,794,1023,1111,486,305,145,347,5075,1440,560,523,857,1334,3965,5884,9736,5902,4467,2687,2210,39561
103,5,7,261,31,20,35,79,112,256,230,185,53,31,16,68,1118,11,14,12,18,41,97,79,36,16,13,9,11,364,55,37,39,59,75,173,128,92,31,22,10,53,771,107,73,99,172,263,584,496,369,117,61,45,141,2520,848,417,466,873,1324,3751,4104,4329,1752,1297,918,1098,21179
104,0,13,182,33,20,15,27,56,190,205,178,47,29,9,40,854,15,4,7,16,20,63,41,63,16,13,3,13,265,38,26,29,50,50,137,91,68,14,15,10,46,569,88,49,54,104,139,435,382,344,84,68,26,109,1873,576,303,277,529,788,2367,2620,3081,1181,772,430,718,13642
105,0,5,116,38,36,37,82,87,167,113,63,19,13,10,54,715,10,13,14,24,16,33,15,16,0,4,0,11,150,27,49,29,37,40,86,36,36,13,5,7,39,407,84,93,80,148,153,319,181,117,38,27,28,119,1379,598,336,370,692,885,1984,1726,1487,548,367,332,637,9964
106,3,24,375,50,19,30,68,102,392,407,347,109,89,40,113,1759,15,7,7,31,31,117,113,117,33,19,15,27,530,75,55,29,84,117,236,232,178,69,60,35,115,1283,149,88,80,191,265,824,833,725,232,189,94,274,3950,1149,507,449,937,1336,4822,6560,8309,3705,2719,1404,1783,33677
107,10,25,342,36,21,18,25,58,177,289,381,183,139,56,101,1483,17,16,11,21,31,136,136,157,51,48,37,34,697,68,29,36,57,87,218,216,234,94,65,44,78,1230,137,70,69,112,185,582,710,840,365,292,151,243,3759,1206,457,408,707,976,3094,4202,7959,5590,4857,2875,1816,34142
108,0,15,285,30,14,22,58,91,268,244,213,73,31,18,70,1135,14,10,4,22,34,96,79,59,25,12,3,24,377,69,36,41,62,92,193,157,99,31,24,20,74,907,114,71,77,158,239,624,543,432,144,73,43,177,2703,847,458,433,831,1191,3404,3729,4308,1758,1146,632,1028,19770
109,4,5,159,20,18,25,54,71,173,125,72,21,13,10,24,624,8,6,4,19,21,69,40,17,10,3,6,9,209,26,18,17,47,42,114,59,24,15,5,9,25,396,56,44,56,132,158,400,253,137,41,19,22,62,1380,572,295,283,652,1016,2710,2385,2008,688,478,370,674,12130
110,0,9,186,29,15,34,72,113,278,174,109,31,16,13,62,951,3,8,10,27,28,60,47,29,3,3,7,13,238,40,29,29,55,72,134,90,47,12,8,5,41,565,84,55,81,163,238,518,355,197,51,41,26,126,1933,818,341,406,861,1323,3550,3078,2741,1029,714,546,926,16333
