SA4_CODE_2021,C11_0_4_Need_asst_M,C11_0_4_Need_asst_F,C11_0_4_Need_asst_P,C11_0_4_No_need_asst_M,C11_0_4_No_need_asst_F,C11_0_4_No_need_asst_P,C11_0_4_Need_asst_ns_M,C11_0_4_Need_asst_ns_F,C11_0_4_Need_asst_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_14_Need_asst_M,C11_5_14_Need_asst_F,C11_5_14_Need_asst_P,C11_5_14_No_need_asst_M,C11_5_14_No_need_asst_F,C11_5_14_No_need_asst_P,C11_5_14_Need_asst_ns_M,C11_5_14_Need_asst_ns_F,C11_5_14_Need_asst_ns_P,C11_5_14_Tot_M,C11_5_14_Tot_F,C11_5_14_Tot_P,C11_15_19_Need_asst_M,C11_15_19_Need_asst_F,C11_15_19_Need_asst_P,C11_15_19_No_need_asst_M,C11_15_19_No_need_asst_F,C11_15_19_No_need_asst_P,C11_15_19_Need_asst_ns_M,C11_15_19_Need_asst_ns_F,C11_15_19_Need_asst_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Need_asst_M,C11_20_24_Need_asst_F,C11_20_24_Need_asst_P,C11_20_24_No_need_asst_M,C11_20_24_No_need_asst_F,C11_20_24_No_need_asst_P,C11_20_24_Need_asst_ns_M,C11_20_24_Need_asst_ns_F,C11_20_24_Need_asst_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_34_Need_asst_M,C11_25_34_Need_asst_F,C11_25_34_Need_asst_P,C11_25_34_No_need_asst_M,C11_25_34_No_need_asst_F,C11_25_34_No_need_asst_P,C11_25_34_Need_asst_ns_M,C11_25_34_Need_asst_ns_F,C11_25_34_Need_asst_ns_P,C11_25_34_Tot_M,C11_25_34_Tot_F,C11_25_34_Tot_P,C11_35_44_Need_asst_M,C11_35_44_Need_asst_F,C11_35_44_Need_asst_P,C11_35_44_No_need_asst_M,C11_35_44_No_need_asst_F,C11_35_44_No_need_asst_P,C11_35_44_Need_asst_ns_M,C11_35_44_Need_asst_ns_F,C11_35_44_Need_asst_ns_P,C11_35_44_Tot_M,C11_35_44_Tot_F,C11_35_44_Tot_P,C11_45_54_Need_asst_M,C11_45_54_Need_asst_F,C11_45_54_Need_asst_P,C11_45_54_No_need_asst_M,C11_45_54_No_need_asst_F,C11_45_54_No_need_asst_P,C11_45_54_Need_asst_ns_M,C11_45_54_Need_asst_ns_F,C11_45_54_Need_asst_ns_P,C11_45_54_Tot_M,C11_45_54_Tot_F,C11_45_54_Tot_P,C11_55_64_Need_asst_M,C11_55_64_Need_asst_F,C11_55_64_Need_asst_P,C11_55_64_No_need_asst_M,C11_55_64_No_need_asst_F,C11_55_64_No_need_asst_P,C11_55_64_Need_asst_ns_M,C11_55_64_Need_asst_ns_F,C11_55_64_Need_asst_ns_P,C11_55_64_Tot_M,C11_55_64_Tot_F,C11_55_64_Tot_P,C11_65_74_Need_asst_M,C11_65_74_Need_asst_F,C11_65_74_Need_asst_P,C11_65_74_No_need_asst_M,C11_65_74_No_need_asst_F,C11_65_74_No_need_asst_P,C11_65_74_Need_asst_ns_M,C11_65_74_Need_asst_ns_F,C11_65_74_Need_asst_ns_P,C11_65_74_Tot_M,C11_65_74_Tot_F,C11_65_74_Tot_P,C11_75_84_Need_asst_M,C11_75_84_Need_asst_F,C11_75_84_Need_asst_P,C11_75_84_No_need_asst_M,C11_75_84_No_need_asst_F,C11_75_84_No_need_asst_P,C11_75_84_Need_asst_ns_M,C11_75_84_Need_asst_ns_F,C11_75_84_Need_asst_ns_P,C11_75_84_Tot_M,C11_75_84_Tot_F,C11_75_84_Tot_P,C11_85over_Need_asst_M,C11_85over_Need_asst_F,C11_85over_Need_asst_P,C11_85over_No_need_asst_M,C11_85over_No_need_asst_F,C11_85over_No_need_asst_P,C11_85over_Need_asst_ns_M,C11_85over_Need_asst_ns_F,C11_85over_Need_asst_ns_P,C11_85over_Tot_M,C11_85over_Tot_F,C11_85over_Tot_P,C11_Tot_Need_asst_M,C11_Tot_Need_asst_F,C11_Tot_Need_asst_P,C11_Tot_No_need_asst_M,C11_Tot_No_need_asst_F,C11_Tot_No_need_asst_P,C11_Tot_Need_asst_ns_M,C11_Tot_Need_asst_ns_F,C11_Tot_Need_asst_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Need_asst_M,C16_0_4_Need_asst_F,C16_0_4_Need_asst_P,C16_0_4_No_need_asst_M,C16_0_4_No_need_asst_F,C16_0_4_No_need_asst_P,C16_0_4_Need_asst_ns_M,C16_0_4_Need_asst_ns_F,C16_0_4_Need_asst_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_14_Need_asst_M,C16_5_14_Need_asst_F,C16_5_14_Need_asst_P,C16_5_14_No_need_asst_M,C16_5_14_No_need_asst_F,C16_5_14_No_need_asst_P,C16_5_14_Need_asst_ns_M,C16_5_14_Need_asst_ns_F,C16_5_14_Need_asst_ns_P,C16_5_14_Tot_M,C16_5_14_Tot_F,C16_5_14_Tot_P,C16_15_19_Need_asst_M,C16_15_19_Need_asst_F,C16_15_19_Need_asst_P,C16_15_19_No_need_asst_M,C16_15_19_No_need_asst_F,C16_15_19_No_need_asst_P,C16_15_19_Need_asst_ns_M,C16_15_19_Need_asst_ns_F,C16_15_19_Need_asst_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Need_asst_M,C16_20_24_Need_asst_F,C16_20_24_Need_asst_P,C16_20_24_No_need_asst_M,C16_20_24_No_need_asst_F,C16_20_24_No_need_asst_P,C16_20_24_Need_asst_ns_M,C16_20_24_Need_asst_ns_F,C16_20_24_Need_asst_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_34_Need_asst_M,C16_25_34_Need_asst_F,C16_25_34_Need_asst_P,C16_25_34_No_need_asst_M,C16_25_34_No_need_asst_F,C16_25_34_No_need_asst_P,C16_25_34_Need_asst_ns_M,C16_25_34_Need_asst_ns_F
101,89,51,140,6040,5682,11725,465,423,897,6594,6156,12757,455,223,671,12592,12263,24853,787,744,1528,13834,13230,27060,144,113,259,6438,5916,12349,365,292,661,6947,6321,13272,103,83,183,4476,4315,8789,405,244,651,4984,4642,9626,199,166,361,8750,9638,18383,821,564,1390,9770,10368,20139,352,327,671,12093,13091,25181,996,670,1668,13441,14088,27526,547,569,1113,14067,14343,28411,977,610,1589,15591,15522,31117,821,755,1575,13482,13460,26934,823,626,1444,15126,14841,29957,790,712,1502,9150,9000,18148,554,454,1012,10494,10166,20660,923,1224,2151,4110,4446,8554,324,392,711,5357,6062,11415,598,1465,2066,772,1145,1917,126,194,319,1496,2804,4295,5007,5691,10697,91960,93289,185249,6651,5228,11876,103618,104208,207821,92,44,136,5656,5168,10818,476,430,910,6224,5642,11863,519,295,814,12459,11799,24261,911,914,1825,13889,13008,26898,215,114,329,5822,5609,11430,457,444,899,6494,6167,12657,153,104,258,4661,4506,9164,524,414,940,5338,5024,10367,256,248,507,9586,10106,19690,1203,938
102,169,100,267,9358,8882,18241,640,627,1269,10167,9609,19772,878,404,1282,18876,18728,37602,1073,969,2043,20827,20101,40925,340,183,523,10036,9526,19565,541,447,983,10917,10156,21072,192,130,325,8105,7944,16042,437,371,808,8734,8445,17178,369,274,642,14419,15677,30095,840,759,1601,15628,16710,32340,463,468,931,17743,19729,37469,1022,933,1951,19228,21130,40354,746,865,1616,18782,20471,39253,1062,927,1989,20590,22263,42856,1192,1080,2273,16385,18077,34466,871,787,1657,18448,19944,38398,1288,1197,2489,12047,13786,25834,732,752,1490,14067,15735,29810,1456,2234,3690,6857,8613,15476,607,741,1356,8920,11588,20514,1137,2765,3904,1738,2435,4177,282,607,881,3157,5807,8962,8243,9693,17939,134350,143870,278219,8106,7915,16024,150699,161478,312181,242,94,334,9109,8699,17803,532,501,1040,9883,9294,19180,1276,533,1807,18930,18425,37358,1074,1005,2076,21280,19963,41242,464,244,712,9112,9094,18198,545,475,1015,10121,9813,19930,345,223,561,8365,8121,16488,559,564,1124,9269,8908,18169,470,410,879,15693,16599,32292,1076,1028
103,91,60,148,6434,6070,12508,561,488,1049,7086,6618,13706,538,240,778,12807,12281,25085,844,748,1584,14189,13269,27447,177,114,292,6324,6152,12473,397,317,712,6898,6583,13480,128,100,228,5247,5093,10338,588,285,872,5963,5478,11440,198,192,394,9116,9755,18877,973,492,1463,10287,10439,20731,333,319,647,10811,11661,22476,948,596,1544,12092,12576,24668,526,481,1006,12153,12306,24460,779,515,1299,13458,13302,26762,750,680,1428,11318,11128,22444,746,541,1284,12814,12349,25162,787,729,1514,7845,7876,15721,533,454,989,9165,9059,18223,838,1178,2011,3902,4405,8311,343,402,738,5083,5985,11063,521,1386,1907,662,1156,1818,97,219,318,1280,2761,4045,4892,5476,10366,86614,87896,174514,6817,5044,11860,98323,98416,196738,80,33,110,6193,5906,12106,550,522,1071,6823,6461,13292,656,287,948,12571,12054,24628,1033,1011,2050,14260,13352,27621,260,154,410,5859,5679,11537,571,567,1136,6690,6400,13088,164,124,279,4969,4925,9895,839,542,1386,5972,5591,11563,276,229,501,9805,10333,20133,1502,961
104,62,26,91,3584,3478,7060,259,246,503,3905,3750,7658,386,156,543,7996,7789,15782,400,402,795,8782,8347,17117,110,63,174,4197,4016,8217,175,171,345,4482,4250,8729,95,64,160,2732,2800,5532,193,142,333,3020,3006,6026,172,137,309,4907,5531,10431,362,256,619,5441,5924,11363,258,262,523,6633,7659,14286,412,308,718,7303,8229,15533,513,429,943,8205,9331,17533,448,345,792,9166,10105,19271,743,598,1335,8653,8764,17419,407,338,739,9803,9700,19502,670,571,1239,5835,6140,11978,282,280,566,6787,6991,13780,678,892,1568,3026,3269,6296,220,258,476,3924,4419,8346,509,1086,1593,563,819,1386,93,203,299,1165,2108,3281,4209,4280,8488,56328,59590,115921,3258,2944,6202,63795,66814,130605,58,34,91,3329,3159,6494,279,270,552,3666,3463,7132,469,200,670,7519,7414,14936,583,546,1126,8571,8160,16734,195,92,291,3670,3494,7169,289,270,560,4154,3856,8020,130,68,199,2759,2665,5416,286,236,517,3175,2969,6137,227,173,400,5379,5852,11235,618,509
105,53,34,87,3855,3724,7580,348,329,681,4256,4087,8348,313,145,460,7259,7113,14372,615,475,1095,8187,7733,15923,119,69,192,3487,3295,6783,272,209,483,3878,3573,7462,75,59,138,2712,2941,5650,316,191,503,3103,3191,6300,114,80,191,5235,5942,11179,583,357,946,5932,6379,12316,186,208,393,6099,6529,12622,571,424,990,6856,7161,14010,365,335,700,7079,7241,14318,549,394,943,7993,7970,15966,551,446,999,6453,6182,12635,447,338,782,7451,6966,14414,519,401,922,4377,4396,8777,325,329,649,5221,5126,10352,524,735,1258,2148,2453,4604,225,254,476,2897,3442,6338,283,763,1049,359,546,905,79,132,213,721,1441,2172,3111,3278,6389,49060,50366,99426,4334,3441,7775,56505,57085,113593,52,35,87,3406,3345,6752,403,387,792,3861,3767,7635,371,166,536,6633,6505,13136,687,649,1330,7691,7320,15002,125,82,204,2915,2829,5743,303,260,556,3343,3171,6504,97,59,154,2706,2785,5489,466,343,812,3269,3187,6453,166,119,284,5628,6324,11948,1033,738
106,132,65,199,8160,7779,15940,504,538,1042,8796,8382,17185,715,333,1054,15790,15409,31201,816,767,1588,17321,16509,33838,237,158,398,7778,7634,15414,469,366,833,8484,8158,16635,156,104,262,6708,6459,13166,499,297,793,7363,6860,14225,303,223,528,12896,13323,26220,987,572,1564,14186,14118,28309,413,382,794,14495,15564,30060,1023,693,1714,15931,16639,32568,638,656,1297,15005,15361,30361,917,701,1622,16560,16718,33282,1122,925,2046,13202,13732,26934,790,637,1428,15114,15294,30410,998,788,1786,8859,9083,17937,579,495,1072,10436,10366,20795,925,1342,2266,3959,4674,8633,380,466,841,5264,6482,11738,586,1517,2107,706,1016,1723,147,288,437,1439,2821,4265,6227,6504,12728,107564,110031,217590,7108,5813,12923,120899,122348,243248,181,84,262,8084,7829,15910,553,533,1086,8818,8446,17269,1180,506,1689,16215,15862,32075,1148,1089,2241,18543,17457,36001,384,214,599,7524,7303,14826,511,474,983,8419,7991,16410,237,174,411,6751,6803,13549,669,455,1121,7657,7432,15088,379,334,716,13603,14584,28191,1544,1157
107,107,57,161,8293,7938,16233,483,493,977,8883,8488,17370,621,259,882,16877,16246,33120,704,673,1370,18202,17178,35370,255,145,400,9177,8733,17911,385,324,717,9817,9202,19019,194,149,345,9191,8752,17935,494,415,905,9879,9316,19186,326,280,606,15359,15519,30877,891,646,1539,16576,16445,33022,422,463,890,16748,17725,34475,771,617,1392,17941,18805,36760,679,749,1427,17437,18082,35519,783,653,1436,18899,19484,38387,1025,992,2022,14129,14801,28924,688,582,1265,15842,16375,32212,1098,1243,2344,9552,10372,19927,472,502,974,11122,12117,23246,1448,2280,3731,5097,5868,10962,407,501,912,6952,8649,15608,887,2162,3048,1040,1364,2402,140,207,351,2067,3733,5803,7062,8784,15847,122888,125401,248291,6230,5616,11839,136180,139801,275983,136,70,201,8370,8004,16372,481,414,896,8987,8488,17473,843,366,1208,16963,16591,33557,799,737,1531,18605,17694,36299,348,202,549,8933,8621,17556,438,439,873,9719,9262,18980,267,186,457,10002,9252,19258,588,547,1142,10857,9985,20857,450,371,820,16339,16656,32995,1085,997
108,115,56,169,5200,4969,10175,386,391,776,5701,5416,11119,624,300,919,11483,11219,22699,589,587,1173,12696,12106,24793,263,135,398,5737,5555,11293,301,252,557,6301,5942,12249,146,117,259,3516,3552,7076,320,178,500,3982,3847,7834,308,230,532,6459,7416,13880,573,333,906,7340,7979,15322,481,379,860,9362,10850,20214,604,486,1092,10447,11715,22162,769,694,1461,12033,13608,25642,721,532,1248,13523,14834,28361,1393,1064,2451,12929,13857,26784,724,589,1311,15046,15510,30546,1250,1056,2302,11041,11578,22619,579,521,1100,12870,13155,26023,1211,1555,2764,6002,6531,12534,450,549,989,7663,8635,16294,874,1942,2822,1274,1600,2875,246,469,716,2394,4011,6408,7428,7516,14945,85039,90744,175782,5496,4888,10381,97963,103148,201110,90,65,152,4764,4559,9324,414,370,782,5268,4994,10264,759,376,1143,10909,10789,21698,797,811,1611,12465,11976,24443,313,183,492,5274,5146,10422,401,383,785,5988,5712,11697,219,136,361,3690,3730,7417,418,329,748,4327,4195,8520,345,291,639,7091,7986,15077,856,697
109,47,23,71,3166,3128,6289,241,239,482,3454,3390,6845,276,126,399,6682,6548,13228,396,358,750,7354,7032,14373,111,42,156,3637,3440,7072,205,161,362,3953,3643,7594,68,51,122,2675,2822,5497,188,148,337,2931,3021,5950,113,94,211,5096,5398,10498,317,253,566,5526,5745,11275,142,151,298,6042,6445,12481,353,302,654,6537,6898,13429,227,238,472,6918,7335,14252,382,294,670,7527,7867,15395,462,347,805,6773,6732,13504,387,309,694,7622,7388,15008,443,383,823,4795,4880,9673,295,255,557,5533,5518,11053,518,678,1194,2472,2699,5172,214,244,460,3204,3621,6823,348,832,1174,488,689,1173,82,132,212,918,1653,2568,2753,2976,5730,48749,50107,98849,3053,2691,5740,54555,55774,110320,47,26,71,3280,3016,6296,266,275,537,3593,3317,6910,339,184,522,6451,6475,12927,549,538,1087,7339,7197,14542,116,66,180,3122,3082,6200,271,245,517,3509,3393,6901,94,67,163,2786,2777,5565,309,279,590,3189,3123,6311,145,135,280,5341,5645,10986,564,583
110,91,47,142,5593,5450,11043,458,447,901,6142,5944,12086,460,191,655,11422,10862,22283,702,705,1414,12584,11758,24347,133,98,230,5745,5625,11368,329,302,627,6207,6025,12227,104,73,180,4643,4790,9427,346,266,610,5093,5129,10222,205,159,363,8082,8777,16855,641,483,1119,8928,9419,18342,301,270,573,9407,10283,19693,654,545,1202,10362,11098,21461,483,477,963,10824,11382,22217,645,543,1180,11952,12402,24357,788,591,1380,10218,10199,20416,623,471,1093,11629,11261,22886,778,635,1412,7183,7465,14643,447,431,879,8408,8531,16933,721,994,1713,3370,3924,7301,311,396,705,4402,5314,9718,516,1161,1673,564,975,1539,128,276,407,1208,2412,3615,4579,4695,9270,77055,79729,156791,5271,4859,10137,86905,89283,176197,95,31,132,5223,5047,10269,569,589,1155,5887,5667,11555,571,227,799,10652,10668,21320,995,961,1959,12218,11856,24076,195,123,322,5281,4993,10275,517,485,996,5993,5601,11590,136,97,238,4615,4647,9264,483,521,1005,5234,5265,10510,216,193,415,8619,9235,17857,1008,943
