SA4_CODE_2021,C16_25_34_Need_asst_ns_P,C16_25_34_Tot_M,C16_25_34_Tot_F,C16_25_34_Tot_P,C16_35_44_Need_asst_M,C16_35_44_Need_asst_F,C16_35_44_Need_asst_P,C16_35_44_No_need_asst_M,C16_35_44_No_need_asst_F,C16_35_44_No_need_asst_P,C16_35_44_Need_asst_ns_M,C16_35_44_Need_asst_ns_F,C16_35_44_Need_asst_ns_P,C16_35_44_Tot_M,C16_35_44_Tot_F,C16_35_44_Tot_P,C16_45_54_Need_asst_M,C16_45_54_Need_asst_F,C16_45_54_Need_asst_P,C16_45_54_No_need_asst_M,C16_45_54_No_need_asst_F,C16_45_54_No_need_asst_P,C16_45_54_Need_asst_ns_M,C16_45_54_Need_asst_ns_F,C16_45_54_Need_asst_ns_P,C16_45_54_Tot_M,C16_45_54_Tot_F,C16_45_54_Tot_P,C16_55_64_Need_asst_M,C16_55_64_Need_asst_F,C16_55_64_Need_asst_P,C16_55_64_No_need_asst_M,C16_55_64_No_need_asst_F,C16_55_64_No_need_asst_P,C16_55_64_Need_asst_ns_M,C16_55_64_Need_asst_ns_F,C16_55_64_Need_asst_ns_P,C16_55_64_Tot_M,C16_55_64_Tot_F,C16_55_64_Tot_P,C16_65_74_Need_asst_M,C16_65_74_Need_asst_F,C16_65_74_Need_asst_P,C16_65_74_No_need_asst_M,C16_65_74_No_need_asst_F,C16_65_74_No_need_asst_P,C16_65_74_Need_asst_ns_M,C16_65_74_Need_asst_ns_F,C16_65_74_Need_asst_ns_P,C16_65_74_Tot_M,C16_65_74_Tot_F,C16_65_74_Tot_P,C16_75_84_Need_asst_M,C16_75_84_Need_asst_F,C16_75_84_Need_asst_P,C16_75_84_No_need_asst_M,C16_75_84_No_need_asst_F,C16_75_84_No_need_asst_P,C16_75_84_Need_asst_ns_M,C16_75_84_Need_asst_ns_F,C16_75_84_Need_asst_ns_P,C16_75_84_Tot_M,C16_75_84_Tot_F,C16_75_84_Tot_P,C16_85over_Need_asst_M,C16_85over_Need_asst_F,C16_85over_Need_asst_P,C16_85over_No_need_assist_M,C16_85over_No_need_assist_F,C16_85over_No_need_asst_P,C16_85over_Need_assist_ns_M,C16_85over_Need_assist_ns_F,C16_85over_Need_assist_ns_P,C16_85over_Tot_M,C16_85over_Tot_F,C16_85over_Tot_P,C16_Tot_Need_assist_M,C16_Tot_Need_assist_F,C16_Tot_Need_asst_P,C16_Tot_No_need_assist_M,C16_Tot_No_need_assist_F,C16_Tot_No_need_asst_P,C16_Tot_Need_assist_ns_M,C16_Tot_Need_assist_ns_F,C16_Tot_Need_assist_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Need_assist_M,C21_0_4_Need_assist_F,C21_0_4_Need_assist_P,C21_0_4_No_need_assist_M,C21_0_4_No_need_assist_F,C21_0_4_No_need_assist_P,C21_0_4_Need_assist_ns_M,C21_0_4_Need_assist_ns_F,C21_0_4_Need_assist_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_14_Need_assist_M,C21_5_14_Need_assist_F,C21_5_14_Need_assist_P,C21_5_14_No_need_assist_M,C21_5_14_No_need_assist_F,C21_5_14_No_need_assist_P,C21_5_14_Need_assist_ns_M,C21_5_14_Need_assist_ns_F,C21_5_14_Need_assist_ns_P,C21_5_14_Tot_M,C21_5_14_Tot_F,C21_5_14_Tot_P,C21_15_19_Need_assist_M,C21_15_19_Need_assist_F,C21_15_19_Need_assist_P,C21_15_19_No_need_assist_M,C21_15_19_No_need_assist_F,C21_15_19_No_need_assist_P,C21_15_19_Need_assist_ns_M,C21_15_19_Need_assist_ns_F,C21_15_19_Need_assist_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Need_assist_M,C21_20_24_Need_assist_F,C21_20_24_Need_assist_P,C21_20_24_No_need_assist_M,C21_20_24_No_need_assist_F,C21_20_24_No_need_assist_P,C21_20_24_Need_assist_ns_M,C21_20_24_Need_assist_ns_F,C21_20_24_Need_assist_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_34_Need_assist_M,C21_25_34_Need_assist_F,C21_25_34_Need_assist_P,C21_25_34_No_need_assist_M,C21_25_34_No_need_assist_F,C21_25_34_No_need_assist_P,C21_25_34_Need_assist_ns_M,C21_25_34_Need_assist_ns_F,C21_25_34_Need_assist_ns_P,C21_25_34_Tot_M,C21_25_34_Tot_F,C21_25_34_Tot_P,C21_35_44_Need_assist_M,C21_35_44_Need_assist_F,C21_35_44_Need_assist_P,C21_35_44_No_need_assist_M,C21_35_44_No_need_assist_F,C21_35_44_No_need_assist_P,C21_35_44_Need_assist_ns_M,C21_35_44_Need_assist_ns_F,C21_35_44_Need_assist_ns_P,C21_35_44_Tot_M,C21_35_44_Tot_F,C21_35_44_Tot_P,C21_45_54_Need_assist_M,C21_45_54_Need_assist_F,C21_45_54_Need_assist_P,C21_45_54_No_need_assist_M,C21_45_54_No_need_assist_F,C21_45_54_No_need_assist_P,C21_45_54_Need_assist_ns_M,C21_45_54_Need_assist_ns_F,C21_45_54_Need_assist_ns_P,C21_45_54_Tot_M,C21_45_54_Tot_F,C21_45_54_Tot_P,C21_55_64_Need_assist_M,C21_55_64_Need_assist_F,C21_55_64_Need_assist_P,C21_55_64_No_need_assist_M,C21_55_64_No_need_assist_F,C21_55_64_No_need_assist_P,C21_55_64_Need_assist_ns_M,C21_55_64_Need_assist_ns_F,C21_55_64_Need_assist_ns_P,C21_55_64_Tot_M,C21_55_64_Tot_F,C21_55_64_Tot_P,C21_65_74_Need_assist_M,C21_65_74_Need_assist_F,C21_65_74_Need_assist_P,C21_65_74_No_need_assist_M,C21_65_74_No_need_assist_F,C21_65_74_No_need_assist_P,C21_65_74_Need_assist_ns_M,C21_65_74_Need_assist_ns_F,C21_65_74_Need_assist_ns_P,C21_65_74_Tot_M,C21_65_74_Tot_F,C21_65_74_Tot_P,C21_75_84_Need_assist_M,C21_75_84_Need_assist_F,C21_75_84_Need_assist_P,C21_75_84_No_need_assist_M
101,2140,11045,11292,22335,344,333,679,10899,11587,22488,1254,1001,2250,12497,12921,25418,567,628,1193,13462,14153,27609,1460,1238,2701,15489,16019,31502,882,869,1750,14026,14380,28407,1343,1238,2581,16251,16487,32738,1036,890,1929,11339,11087,22427,1127,1070,2193,13502,13047,26551,992,1239,2233,4864,4953,9817,570,626,1197,6426,6818,13248,694,1611,2307,1072,1344,2420,200,338,538,1966,3293,5263,5757,6378,12132,93847,94686,188533,9520,8648,18172,109124,109712,218842,98,57,157,5996,5765,11762,422,415,837,6516,6237,12752,832,401,1235,12973,12323,25299,1042,924,1960,14847,13648,28493,270,169,447,5979,5531,11506,450,387,830,6699,6087,12785,196,131,329,5040,4733,9774,438,337,776,5674,5201,10876,320,300,625,11758,12309,24065,1174,890,2063,13252,13499,26755,335,401,736,11828,12661,24485,1005,894,1903,13168,13956,27123,533,648,1183,13730,14477,28210,1155,910,2062,15418,16035,31454,856,911,1760,15451,15902,31351,1234,1027,2263,17541,17840,35370,1244,1170,2411,13500,13454,26952,1010,891,1901,15754,15515,31264,1262,1559,2819,6123
102,2104,17239,18037,35277,557,556,1111,17295,18583,35879,1185,1205,2388,19037,20344,39379,832,983,1809,18904,20288,39187,1326,1308,2627,21062,22579,43630,1244,1320,2563,17528,19634,37159,1279,1354,2635,20051,22308,42365,1650,1555,3209,14444,16437,30883,1156,1342,2502,17250,19334,36590,1573,2298,3873,7360,8671,16032,780,1014,1793,9713,11983,21698,1394,2837,4233,2040,2739,4775,437,834,1272,3871,6410,10275,10035,11046,21085,138773,147291,286065,9949,10636,20585,158757,168973,327736,228,128,350,9298,8783,18080,480,501,985,10006,9412,19421,1900,844,2745,19130,18771,37895,1165,1129,2293,22195,20744,42931,607,349,957,9397,8942,18338,518,462,983,10522,9753,20276,416,257,670,8482,8393,16872,480,455,942,9378,9105,18486,568,474,1048,16968,18009,34974,1080,1017,2103,18616,19500,38119,579,593,1171,18309,19806,38119,1024,1043,2069,19912,21442,41358,751,901,1654,19486,20904,40394,1151,987,2140,21388,22792,44183,1280,1477,2754,18966,21137,40105,1037,981,2018,21283,23595,44882,1807,1913,3725,16170,18832,35002,911,1052,1962,18888,21797,40693,2030,2772,4803,9071
103,2461,11583,11523,23098,360,339,696,9921,10647,20574,1332,1049,2379,11613,12035,23654,572,548,1123,11370,11894,23263,1420,1215,2636,13362,13657,27012,796,715,1515,11368,11475,22844,1274,1136,2410,13438,13326,26767,942,814,1755,9214,9277,18491,1157,1078,2240,11313,11169,22479,877,1218,2090,4305,4742,9045,630,741,1369,5812,6701,12509,615,1489,2107,990,1347,2331,219,410,632,1824,3246,5070,5600,5945,11544,86569,88279,174847,10534,9239,19768,102703,103463,206158,111,61,174,5986,5542,11528,436,430,870,6533,6033,12569,958,454,1412,12723,12490,25214,1085,1088,2172,14766,14032,28797,324,202,521,5867,5415,11284,490,396,888,6681,6013,12689,217,143,358,4974,4830,9805,617,382,998,5808,5355,11161,312,276,590,10653,11460,22113,1298,855,2155,12263,12591,24861,352,331,686,10316,11016,21331,1272,834,2109,11940,12181,24125,546,543,1088,11226,11963,23188,1077,850,1930,12849,13356,26203,788,760,1554,12055,12407,24458,1069,839,1911,13912,14006,27917,1094,1049,2140,10398,10509,20905,893,705,1598,12385,12263,24652,1159,1445,2608,5277
104,1127,6224,6534,12751,271,266,537,6098,6860,12959,623,565,1190,6992,7691,14691,477,497,979,7344,8423,15768,696,714,1418,8517,9634,18166,774,670,1445,8765,9422,18188,867,787,1653,10406,10879,21284,872,653,1527,7238,7503,14734,692,677,1367,8802,8833,17635,718,953,1668,3384,3672,7060,455,513,970,4557,5138,9699,542,1174,1717,792,954,1741,191,396,588,1525,2524,4053,4733,4794,9528,56269,59423,115690,5579,5494,11071,66581,69711,136287,73,34,108,3274,3282,6556,251,254,507,3598,3570,7178,613,290,910,7823,7688,15514,630,607,1238,9066,8585,17662,240,119,356,3567,3447,7016,289,277,567,4096,3843,7950,153,81,234,2802,2787,5583,336,211,552,3291,3079,6369,234,204,434,6260,6805,13059,924,608,1531,7418,7617,15030,256,263,520,6640,7375,14020,836,609,1440,7732,8247,15975,388,426,812,7479,8451,15934,767,590,1360,8634,9467,18106,718,679,1399,8788,9831,18617,685,549,1233,10191,11059,21252,980,880,1869,8720,9002,17719,545,513,1057,10245,10395,20649,949,1177,2128,4167
105,1777,6827,7181,14009,172,173,349,5243,5614,10853,796,662,1460,6211,6449,12661,352,311,664,6159,6437,12597,859,787,1644,7370,7535,14905,529,486,1016,6352,6333,12679,838,763,1599,7719,7582,15305,619,512,1127,4793,4673,9464,647,580,1230,6059,5765,11822,571,708,1280,2202,2542,4739,324,400,723,3097,3650,6748,375,851,1221,535,666,1197,124,195,322,1034,1712,2742,3425,3502,6923,46564,48039,94607,6485,5763,12253,56474,57304,113778,59,32,91,3374,3244,6621,462,426,884,3895,3702,7596,451,206,655,6349,6329,12671,1047,928,1973,7847,7463,15301,172,81,246,2780,2691,5478,460,356,819,3412,3128,6541,110,63,178,2485,2534,5013,444,346,789,3039,2943,5979,167,146,321,6281,6866,13148,1128,896,2023,7576,7908,15489,178,154,328,5220,5667,10889,936,824,1759,6334,6645,12978,296,313,611,5457,5788,11240,859,750,1607,6612,6851,13463,477,472,947,6251,6461,12712,834,728,1560,7562,7661,15228,659,556,1207,5097,5081,10186,663,569,1232,6419,6206,12627,652,778,1436,2451
106,2698,15526,16075,31606,477,497,975,14197,14781,28976,1464,1063,2534,16138,16341,32480,707,818,1529,14971,15666,30633,1403,1209,2613,17081,17693,34776,1143,1106,2247,14132,14660,28797,1277,1253,2523,16552,17019,33574,1355,1155,2516,11152,11418,22570,1101,1130,2236,13608,13703,27322,1092,1457,2546,4731,5106,9834,596,704,1298,6419,7267,13681,700,1667,2366,948,1272,2223,225,409,631,1873,3348,5218,7843,8011,15855,112300,115290,227590,10498,9482,19977,130641,132783,263419,197,112,310,8350,8030,16380,455,438,890,9002,8580,17579,1788,877,2663,17337,17189,34523,1121,1008,2131,20246,19074,39317,572,312,885,8116,7664,15779,512,405,916,9200,8381,17584,370,232,598,7322,7234,14547,640,394,1031,8332,7860,16178,505,434,941,16025,17100,33131,1561,884,2446,18091,18418,36516,506,569,1076,15544,16388,31933,1378,839,2218,17428,17796,35227,738,864,1601,15847,16791,32633,1197,794,1996,17782,18449,36228,1160,1295,2460,15902,16793,32695,1067,780,1846,18129,18868,37003,1639,1593,3236,13610,14273,27879,826,712,1542,16075,16578,32654,1530,1877,3407,6500
107,2079,17874,18024,35896,507,533,1039,16550,17290,33844,965,945,1911,18022,18768,36791,768,843,1611,17037,17769,34802,1094,1013,2112,18899,19625,38526,1121,1203,2321,15320,16458,31772,1080,1066,2140,17521,18727,36236,1414,1446,2861,11238,12051,23291,918,972,1894,13570,14469,28042,1529,2316,3846,5578,6308,11882,599,735,1333,7706,9359,17066,1187,2548,3734,1290,1607,2899,250,455,701,2727,4610,7330,8565,10082,18649,127622,130606,258224,8303,8317,16623,144490,149005,293498,185,75,263,8612,8153,16763,425,378,800,9222,8606,17827,1239,611,1853,17587,17067,34644,904,883,1787,19730,18561,38285,429,268,704,8813,8701,17512,458,450,907,9700,9419,19124,351,255,605,9955,9774,19722,537,462,998,10843,10491,21328,519,434,953,18410,18738,37150,977,924,1897,19906,20096,39997,526,530,1057,17421,18412,35832,840,839,1679,18787,19781,38572,732,908,1633,17561,18520,36075,831,730,1560,19124,20158,39273,1100,1239,2341,17141,18234,35371,751,689,1436,18992,20162,39152,1547,1700,3246,13237,14464,27702,684,678,1365,15468,16842,32307,1779,2598,4376,6801
108,1552,8292,8974,17268,502,386,892,8558,9696,18261,827,737,1564,9887,10819,20713,798,755,1553,11147,12408,23562,1092,1027,2122,13037,14190,27233,1305,1152,2452,13419,14782,28205,1230,1229,2459,15954,17163,33115,1681,1388,3075,13339,13912,27250,1305,1314,2616,16325,16614,32938,1287,1629,2918,6653,7035,13691,767,878,1643,8707,9542,18258,1041,2151,3187,1632,1998,3622,360,574,938,3033,4723,7745,8343,8514,16851,86480,92048,178530,8468,8339,16813,103291,108901,212197,119,72,191,4655,4546,9199,412,386,795,5186,5004,10190,1106,568,1670,10965,11042,22007,972,996,1968,13043,12606,25646,402,235,642,5403,5320,10727,455,387,839,6260,5942,12206,263,168,430,4112,4050,8163,452,308,758,4827,4526,9356,410,328,744,8158,9125,17278,987,769,1755,9555,10222,19774,420,399,821,8961,10155,19115,928,759,1690,10309,11313,21625,703,705,1409,11174,12522,23698,916,781,1700,12793,14008,26807,1275,1253,2531,14065,16200,30265,1062,937,1992,16402,18390,34795,1925,1699,3625,15688,16223,31916,1021,974,1993,18634,18896,37531,1907,2315,4220,8381
109,1151,6050,6363,12414,202,182,377,5467,5929,11402,535,524,1056,6204,6635,12835,273,307,577,6361,6693,13049,635,587,1222,7269,7587,14846,457,398,855,6906,7123,14026,722,715,1436,8085,8236,16326,569,495,1063,5708,5721,11422,634,604,1238,6911,6820,13723,565,688,1248,2715,2992,5701,371,460,833,3651,4140,7784,433,918,1352,680,780,1465,144,240,389,1257,1938,3205,3243,3450,6696,48811,50240,99047,5007,5051,10061,57061,58741,115802,74,33,107,3292,3168,6457,288,279,569,3654,3480,7139,534,232,764,6609,6543,13150,677,564,1240,7820,7339,15152,179,103,280,3136,3124,6261,288,263,555,3603,3490,7090,129,89,214,2760,2764,5520,261,222,484,3150,3075,6222,212,166,379,5961,6244,12206,567,532,1105,6740,6942,13683,172,168,337,5818,6347,12168,538,528,1075,6528,7043,13574,296,316,609,6322,6778,13100,611,492,1101,7229,7586,14812,476,465,941,7178,7700,14877,624,577,1199,8278,8742,17022,735,701,1437,6823,6810,13636,582,504,1088,8140,8015,16158,688,918,1608,3386
110,1950,9843,10371,20214,320,277,600,8458,9251,17714,1026,925,1951,9804,10453,20260,469,468,934,9900,10418,20322,1076,1069,2146,11445,11955,23404,729,712,1438,10241,10466,20704,1181,1108,2288,12151,12286,24436,902,752,1651,8079,8339,16422,1004,906,1904,9985,9997,19976,814,1069,1888,3851,4291,8143,562,696,1255,5227,6056,11282,511,1182,1694,771,1170,1943,186,421,613,1468,2773,4253,4961,5142,10105,75694,78529,154226,8601,8628,17225,89256,92299,181559,109,55,162,5021,4480,9497,529,489,1022,5659,5024,10684,785,351,1140,10537,10518,21061,1308,1308,2621,12630,12177,24821,242,156,401,4919,4970,9890,607,663,1271,5768,5789,11556,192,134,324,4321,4325,8641,653,591,1246,5166,5050,10211,268,235,502,9238,9987,19224,1144,1078,2224,10650,11300,21953,294,285,578,8508,9209,17710,1047,992,2040,9849,10486,20328,454,474,927,9177,9788,18971,1097,1034,2126,10728,11296,22031,730,746,1476,10209,10782,20993,1105,1016,2119,12044,12544,24586,1040,937,1976,8883,8987,17873,912,816,1723,10835,10740,21574,1026,1304,2333,4578
