SA4_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
101,83187,84816,168001,89015,91061,180076,97725,99836,197558,37237,21655,58892,36906,22587,59495,40671,26321,66989,9637,19877,29512,10717,21150,31860,12957,23889,36848,3059,3202,6264,2827,3159,5978,3422,4154,7584,2563,1951,4512,2753,2233,4984,2250,1749,4005,52493,46686,99176,53200,49127,102319,59307,56116,115425,25821,33735,59553,28845,34840,63683,31825,37338,69160,4.9,4.2,4.6,5.2,4.5,4.9,3.8,3.1,3.5,63.1,55,59,59.8,53.9,56.8,60.7,56.2,58.4,60,52.7,56.3,56.7,51.5,54.1,58.4,54.5,56.4,2514,2004,4517,3103,2928,6030,4683,4880,9566,1172,1967,3134,1311,2410,3722,1628,3272,4900,6856,9775,16630,7805,11855,19656,10150,15229,25381,5096,7652,12753,6320,9423,15743,7449,11083,18535,21655,8867,30522,23650,10556,34209,25852,13377,39228,779,1617,2397,825,1638,2463,919,1704,2620,987,2127,3110,1434,2834,4269,1569,2631,4199,23418,12616,36032,25910,15030,40937,28342,17704,46045,82425,83777,166198,83440,84321,167757,93329,94492,187827,13942,14665,28614,14215,14811,29025,15721,16201,31927,56012,56230,112246,57430,57437,114866,61770,61895,123664,34490,36518,71008,36005,37939,73944,41778,43617,85393
102,119710,131777,251484,127601,139709,267309,135785,148463,284248,51295,27056,78353,53461,29329,82787,48927,30365,79291,13280,30788,44067,15177,34041,49220,19158,33766,52926,4128,4463,8593,3446,4144,7590,8078,10543,18623,5184,4509,9685,5250,4857,10101,4195,3268,7463,73881,66818,140700,77334,72363,149698,80361,77935,158296,39031,57885,96916,42635,58759,101393,47870,61981,109849,7,6.7,6.9,6.8,6.7,6.7,5.2,4.2,4.7,61.7,50.7,55.9,60.6,51.8,56,59.2,52.5,55.7,57.4,47.3,52.1,56.5,48.3,52.2,56.1,50.3,53.1,2292,2029,4317,3153,3240,6392,4720,5324,10042,1051,1787,2839,1253,2350,3601,1600,3425,5020,8811,12673,21481,11083,16324,27405,14300,21385,35685,7873,11701,19578,9581,15092,24671,10744,17041,27784,33712,15040,48754,36266,18295,54561,38179,21493,59670,1231,2550,3772,1206,2478,3683,1402,2610,4010,1705,3582,5286,2441,4449,6888,2649,4463,7110,36645,21170,57812,39916,25217,65131,42232,28560,70788,122168,131269,253438,123671,131271,254946,135314,143689,279003,19581,21505,41085,20821,22711,43531,21761,23126,44882,81226,87190,168413,82075,86777,168844,89860,95013,184867,51339,56792,108129,56760,61986,118748,58720,63770,122490
103,77052,78527,155584,81603,83643,165244,84902,86692,171594,36278,18112,54392,34713,18701,53417,36815,21734,58548,7231,18557,25789,8132,19510,27637,9561,21189,30750,2748,2735,5485,2451,2779,5228,2847,3378,6225,2536,2167,4701,3163,2542,5707,2261,1791,4057,48801,41570,90367,48459,43531,91990,51482,48089,99573,23760,32995,56759,26101,33066,59170,27165,32665,59825,5.2,5.2,5.2,6.5,5.8,6.2,4.4,3.7,4.1,63.3,52.9,58.1,59.4,52,55.7,60.6,55.5,58,60,50.2,55.1,55.5,49,52.2,58,53.4,55.7,1199,1086,2281,1553,1731,3283,2265,2744,5005,584,1187,1773,767,1557,2323,871,2038,2908,4831,8064,12891,5597,9884,15479,6925,12086,19013,3751,6154,9903,4444,7616,12064,5012,8518,13528,19974,8770,28750,21765,10360,32122,23427,12890,36315,851,1707,2558,891,1787,2675,957,1735,2690,932,1929,2857,1365,2592,3954,1324,2396,3723,21755,12408,34164,24013,14741,38757,25703,17025,42729,77493,78769,156264,77004,78304,155311,82081,83556,165643,13335,14017,27351,13022,13858,26884,13621,14276,27899,53261,53598,106867,52581,52444,105020,54673,54931,109607,31301,33205,64507,32789,35275,68062,35629,37961,73594
104,51104,54714,105821,54349,58073,112424,58824,62467,121293,17697,9917,27612,17697,10436,28133,18892,12309,31206,6573,12979,19553,7258,13667,20926,8528,15431,23965,1699,1676,3369,1430,1585,3017,1882,2148,4028,2646,2039,4684,2506,1960,4462,1983,1533,3520,28613,26603,55220,28895,27649,56547,31292,31423,62713,19969,25680,45646,21277,26130,47410,23482,26838,50320,9.3,7.7,8.5,8.7,7.1,7.9,6.3,4.9,5.6,56,48.6,52.2,53.2,47.6,50.3,53.2,50.3,51.7,50.8,44.9,47.8,48.5,44.2,46.3,49.8,47.8,48.8,818,735,1547,1019,1125,2137,1501,1864,3364,452,836,1291,607,1061,1663,773,1615,2390,3685,5504,9190,4332,6830,11163,5360,8490,13851,2833,4554,7385,3473,5944,9417,3956,6817,10769,14062,6323,20390,14947,7402,22348,16085,9253,25340,592,1181,1780,628,1212,1841,664,1223,1889,657,1470,2124,1006,1942,2951,1077,1779,2853,15310,8975,24289,16582,10556,27141,17825,12264,30082,50662,53127,103790,50452,52850,103306,55542,58499,114039,9489,10492,19989,9334,10143,19478,9401,10265,19664,33492,34786,68276,34321,35400,69721,36680,38010,74691,22956,25148,48103,23115,25450,48565,24991,27602,52591
105,44062,45264,89321,44925,46228,91150,45590,47084,92669,20069,11456,31521,18829,11600,30428,19199,12678,31876,3812,9550,13364,4049,9354,13403,4507,9803,14310,1619,1581,3200,1390,1485,2878,1529,1782,3312,1871,1375,3245,2005,1524,3522,1287,976,2265,27368,23967,51335,26275,23959,50237,26524,25237,51763,13729,18566,32296,14316,17998,32312,13898,16564,30459,6.8,5.7,6.3,7.6,6.4,7,4.9,3.9,4.4,62.1,52.9,57.5,58.5,51.8,55.1,58.2,53.6,55.9,57.9,49.9,53.8,54,48.5,51.2,55.4,51.5,53.4,410,497,902,574,799,1368,962,1281,2245,251,604,856,325,702,1034,361,949,1315,2149,4358,6505,2490,5058,7543,2998,5964,8963,1752,2880,4632,2062,3723,5779,2250,3980,6227,10299,4920,15220,11019,5581,16596,11149,6346,17498,445,983,1427,458,969,1426,448,904,1350,480,934,1408,666,1162,1830,600,1057,1661,11220,6837,18059,12141,7716,19857,12191,8313,20507,44501,45533,90038,42182,42954,85136,42049,43202,85253,7314,7776,15092,6755,7422,14175,7012,7514,14520,31226,31379,62606,29912,29986,59905,29103,29297,58397,16700,18145,34847,16392,17856,34248,16870,18487,35355
106,94775,97451,192225,103272,106874,210149,115891,119155,235041,46313,20802,67108,44654,22328,66978,49210,27064,76279,9101,24000,33099,11298,26307,37604,13700,30109,43803,3694,3387,7083,3080,3300,6379,4757,5984,10737,3038,2944,5983,4581,4078,8664,3581,2903,6487,62140,51127,113267,63613,56015,119631,71248,66060,137309,27572,41690,69260,32599,43733,76326,38380,47209,85594,4.9,5.8,5.3,7.2,7.3,7.2,5,4.4,4.7,65.6,52.5,58.9,61.6,52.4,56.9,61.5,55.4,58.4,62.4,49.4,55.8,57.2,48.6,52.8,58.4,53,55.7,1263,1120,2378,1682,1793,3477,2417,2882,5305,613,1146,1760,752,1521,2271,980,2299,3285,5464,8424,13887,6164,10376,16544,8084,13657,21741,5422,7640,13056,6583,10135,16717,7997,12383,20384,29261,12000,41265,32620,15652,48268,37111,21142,58250,880,2197,3078,1026,2352,3377,1283,2555,3836,1100,2430,3532,1698,3286,4988,1735,3376,5113,31244,16627,47878,35347,21291,56638,40128,27076,67198,96066,98154,194217,99721,101787,201511,113622,116622,230247,16830,17521,34351,17494,18525,36022,20206,21205,41413,64155,65314,129469,65961,66399,132361,72078,73003,145083,40841,42834,83675,45546,48583,94127,54213,57675,111893
107,109099,114134,223231,116894,122835,239723,125125,132598,257723,48115,23779,71889,49132,26337,75469,48631,28827,77454,11758,27707,39461,13965,30974,44938,16983,31467,48452,4040,4027,8068,3242,3681,6921,7361,9464,16826,4711,3879,8598,5089,4299,9387,3900,3048,6950,68632,59386,128021,71422,65292,136721,76874,72809,149685,35240,50012,85254,39049,50877,89925,42228,53562,95788,6.9,6.5,6.7,7.1,6.6,6.9,5.1,4.2,4.6,62.9,52,57.3,61.1,53.2,57,61.4,54.9,58.1,58.6,48.6,53.5,56.7,49.7,53.1,58.3,52.6,55.4,3851,3412,7258,4922,4958,9873,6901,7460,14356,1168,2054,3228,1464,2808,4277,1837,3837,5677,10305,13125,23433,12615,16566,29181,15911,21587,37495,7669,10046,17713,9109,12656,21766,10226,14365,24594,29519,12072,41591,31766,14498,46268,34352,17609,51965,952,2131,3088,988,2097,3089,1134,2302,3435,1327,3016,4334,2041,3973,6018,2040,4051,6091,31798,17217,49020,34799,20571,55372,37529,23963,61494,112122,115573,227692,114038,118073,232112,124986,129256,254247,16957,17695,34647,18386,18925,37312,20109,21351,41466,78806,81253,160058,79511,82209,161722,85401,88423,173825,42300,44425,86727,47655,49701,97362,51914,54898,106817
108,79579,85618,165196,85557,91932,177491,93102,100094,193195,24932,14120,39055,24853,14762,39617,27158,17716,44874,9325,18143,27462,10118,19478,29593,12237,22541,34778,2365,2425,4787,2464,2489,4949,2902,3416,6321,3683,2678,6365,3664,2857,6526,3029,2257,5283,40300,37368,77670,41097,39586,80684,45330,45930,91257,34889,44009,78900,37996,45641,83640,41526,47611,89140,9.1,7.2,8.2,8.9,7.2,8.1,6.7,4.9,5.8,50.6,43.6,47,48,43.1,45.5,48.7,45.9,47.2,46,40.5,43.2,43.7,39.9,41.8,45.4,43.6,44.5,1006,848,1855,1379,1425,2806,2109,2496,4608,676,1108,1784,769,1497,2267,1019,2091,3108,4802,6918,11722,5723,8669,14388,7220,11668,18892,4327,7111,11441,5163,9093,14249,6140,10514,16656,22482,9863,32345,24539,11691,36232,27178,15095,42276,811,1860,2668,969,1898,2867,1023,2097,3118,1035,2345,3378,1682,3324,5007,1691,3049,4735,24326,14062,38393,27192,16913,44103,29896,20244,50133,78304,82883,161184,78939,83437,162379,87263,92742,180004,13590,14845,28437,13870,14996,28868,14523,15824,30349,53297,55703,108995,53284,55718,109000,57426,60169,117598,33197,36666,69868,35848,39172,75023,39822,44047,83868
109,43748,45353,89102,46135,48221,94356,49443,51818,101262,20754,10282,31033,19712,10246,29960,21077,11830,32905,4250,11230,15479,4919,12077,16999,5753,13318,19072,1681,1699,3376,1488,1655,3147,1579,1997,3583,1395,1245,2645,1645,1398,3043,1313,1024,2338,28075,24453,52531,27766,25376,53140,29730,28166,57892,13137,18609,31743,14372,18803,33179,15650,19720,35373,5,5.1,5,5.9,5.5,5.7,4.4,3.6,4,64.2,53.9,59,60.2,52.6,56.3,60.1,54.4,57.2,61,51.2,56,56.6,49.7,53.1,57.5,52.4,54.9,566,557,1125,689,919,1612,1070,1407,2477,379,800,1178,437,972,1406,555,1351,1904,2748,4668,7424,3099,5486,8589,3848,6859,10711,2241,3454,5700,2795,4466,7258,3233,5100,8331,11219,5050,16273,12278,6037,18312,13365,7379,20746,423,948,1367,423,904,1323,455,878,1329,447,863,1310,701,1211,1910,656,1080,1734,12090,6858,18941,13399,8151,21550,14471,9338,23813,44074,44756,88821,43301,44207,87509,47041,48554,95594,7162,8061,15219,7556,8232,15792,8112,8596,16705,30604,30592,61200,30073,30194,60267,31292,31872,63165,17403,18979,36378,18369,20112,38485,20855,22395,43254
110,68180,71582,139759,71154,74767,145924,72974,77085,150057,31027,16666,47695,30032,17118,47148,30476,19070,49547,6879,16222,23102,7662,16553,24219,8265,17267,25529,2409,2377,4787,2147,2467,4618,2268,2794,5063,2716,2246,4962,2769,2456,5219,2203,1871,4076,43033,37516,80547,42613,38591,81208,43210,41001,84212,20980,30046,51028,22166,29559,51726,22484,28696,51183,6.3,6,6.2,6.5,6.4,6.4,5.1,4.6,4.8,63.1,52.4,57.6,59.9,51.6,55.6,59.2,53.2,56.1,59.1,49.3,54.1,56,48.3,52.1,56.2,50.8,53.4,1336,1201,2538,1709,1781,3492,2107,2591,4696,510,1205,1713,623,1373,1991,729,1760,2486,4260,7176,11435,4814,8578,13396,5574,9911,15486,3177,5381,8563,3725,6665,10394,3906,7035,10950,16076,7818,23899,17164,8985,26144,17959,10818,28776,737,1534,2270,760,1490,2248,846,1549,2386,802,1653,2458,1123,2194,3319,1046,1956,3007,17618,11006,28622,19045,12672,31708,19843,14325,34170,68527,70397,138922,66904,68938,135835,68010,70278,138290,12501,13488,25989,12069,13142,25213,12753,13631,26383,46429,47301,93731,46014,46718,92730,45720,46837,92556,29008,31209,60218,28775,31343,60125,30345,32936,63285
