SA4_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
101,884,1137,201,456,144,64,261,3476,4,3,35,131,128,292,194,55,39,20,20,95,1011,3,0,4,21,20,72,83,19,29,5,0,58,312,6,0,0,4,7,28,58,42,33,30,27,56,286,26,12,83,244,210,403,257,58,30,22,14,197,1548,0,0,0,7,4,15,14,4,3,4,3,1400,1456,80,37,217,661,784,3165,5274,2924,2058,2430,1295,3383,22301,7,13,30,136,252,658,659,138,161,82,8,306,2444,5,32,202,491,406,410,163,25,16,11,0,190,1953,0,5,14,55,32,55,46,13,4,3,0,44,270,6,10,114,144,31,27,8,6,3,0,0,44,392,41,63,596,799,468,524,211,61,40,11,4,355,3176,3,0,6,12,7,14,3,0,0,0,0,110,156,72,118,964,1633,1193,1686,1096,234,222,104,15,1044,8389,398,214,1923,6602,4313,9819,10945,5258,3487,3963,1978,6673,55565,28,7,8,62,54,283,1075,1050,728,873
102,1572,2535,444,1107,294,84,530,7011,3,3,41,179,167,453,377,97,72,53,16,170,1640,3,0,7,18,36,131,152,44,58,23,6,94,581,0,0,5,7,3,42,80,73,42,49,23,63,393,40,10,135,395,382,664,567,135,52,54,18,364,2817,4,0,4,6,4,15,29,3,5,6,3,1889,1974,112,53,272,825,1108,4775,9498,4900,3733,3489,1164,5006,34940,23,16,52,159,416,1101,1242,290,209,94,16,619,4241,7,32,288,855,759,900,397,61,45,15,0,417,3777,3,0,39,86,74,116,72,21,17,5,0,82,513,21,21,245,379,109,95,33,10,3,0,6,113,1018,89,89,993,1798,1020,1270,522,113,51,25,8,695,6675,0,0,11,16,12,18,7,0,0,0,0,228,298,139,160,1626,3290,2388,3496,2273,497,321,142,33,2151,16523,547,260,2851,10480,6868,14654,17525,8168,5473,5088,1703,9812,83427,0,6,0,20,20,162,1143,1431,1027,968
103,919,1318,225,571,148,50,278,3926,0,3,20,81,78,251,169,45,37,15,4,87,782,3,0,5,30,21,81,90,15,25,10,6,42,325,0,0,0,5,4,30,64,30,25,36,12,39,251,15,9,100,310,197,405,241,34,26,16,11,203,1570,5,0,0,4,7,25,10,0,0,3,6,1346,1410,87,39,228,693,762,3069,5470,2649,2089,2080,705,3242,21111,17,12,37,127,235,598,590,85,87,24,11,256,2080,0,23,214,425,314,382,144,17,12,11,0,159,1711,3,3,20,47,22,62,35,9,11,6,0,41,249,9,10,161,153,51,32,6,0,0,0,0,44,476,55,60,729,939,577,604,218,51,31,6,7,405,3676,0,0,11,5,16,10,5,0,4,0,0,126,181,91,108,1176,1698,1212,1680,1000,164,141,43,20,1039,8375,445,192,2085,6584,3904,8831,10185,4646,3242,3255,1112,6326,50815,26,17,15,46,83,237,1090,962,641,664
104,679,706,119,178,47,16,136,2158,7,0,29,135,136,335,158,28,26,6,3,82,940,0,0,0,11,12,65,58,11,14,5,3,35,213,0,0,0,13,4,16,44,16,13,13,8,23,141,19,9,63,283,223,375,202,43,19,8,9,175,1429,0,0,0,7,5,7,10,0,0,0,0,851,882,55,28,150,640,742,2628,3516,1447,809,681,216,1940,12852,7,3,20,92,188,425,329,52,48,13,5,153,1339,3,19,153,425,336,366,124,12,11,0,0,145,1585,0,5,16,38,27,26,21,5,0,0,0,30,175,11,11,150,197,44,46,18,5,0,0,0,47,532,49,44,540,868,449,499,148,25,12,7,0,316,2955,3,0,0,10,0,11,3,0,0,0,0,88,125,74,82,879,1625,1055,1373,641,90,74,20,4,785,6704,261,144,1597,5984,3651,7493,6835,2524,1322,1173,368,4115,35468,10,4,3,25,41,120,591,439,283,264
105,504,605,101,181,52,21,164,1853,0,4,21,70,61,146,82,11,12,9,0,54,485,3,0,9,18,15,39,41,11,4,3,0,37,175,0,5,0,5,4,14,29,21,8,8,3,32,123,15,9,69,221,156,252,136,23,12,3,3,156,1044,3,0,4,3,3,10,11,0,3,0,5,897,938,65,23,173,460,505,1780,2708,1335,905,860,284,2186,11294,8,6,14,91,197,406,361,63,49,15,0,182,1393,0,11,128,268,237,186,75,16,5,7,5,103,1031,0,6,22,26,19,27,23,4,3,0,3,30,157,5,18,125,122,40,32,7,0,0,0,0,55,401,38,41,551,675,401,388,129,17,15,3,0,313,2567,0,0,16,14,4,9,0,0,0,0,0,147,193,54,79,866,1183,885,1050,597,97,72,23,12,825,5742,307,129,1430,3951,2487,5062,5417,2414,1405,1390,472,4374,28838,38,8,12,34,57,223,684,604,434,407
106,1179,2134,399,1388,303,99,454,6271,0,0,23,118,131,363,275,67,79,29,10,113,1218,0,5,10,19,22,90,153,32,88,34,5,87,545,0,0,0,0,4,21,74,44,46,53,24,54,323,23,9,91,313,267,556,409,115,40,29,23,271,2151,0,0,3,7,8,26,28,3,11,5,0,1578,1666,77,50,174,633,766,3454,7161,3768,3895,3430,1253,3964,28640,4,5,36,128,311,741,786,186,204,75,15,308,2797,5,25,238,621,479,537,240,35,27,15,4,226,2439,3,0,27,52,39,62,50,14,12,3,0,55,312,13,14,211,206,75,74,24,4,0,0,0,49,671,59,69,864,1193,773,796,317,72,38,12,12,501,4706,3,0,7,14,10,17,10,0,0,0,0,168,235,86,118,1372,2217,1680,2224,1431,309,283,112,38,1298,11169,422,213,2248,7795,4902,10331,13370,6413,5802,5159,1796,7457,65896,13,11,3,34,43,175,1049,1208,843,844
107,1200,2278,527,1192,399,124,472,6538,7,8,35,183,146,403,356,105,86,63,18,155,1573,4,0,10,21,37,106,155,39,56,24,15,84,545,4,0,4,7,6,28,81,79,44,59,22,71,399,41,20,133,383,352,746,705,175,85,80,21,400,3140,3,0,0,3,9,32,37,17,5,0,0,1695,1806,117,56,253,786,904,3917,8207,4843,3993,4233,1582,4484,33376,11,8,31,131,281,844,1006,253,242,107,19,381,3328,6,38,213,672,535,689,329,59,41,19,6,269,2868,3,4,23,50,37,83,60,13,6,3,0,65,361,18,22,218,221,70,51,32,4,0,0,0,63,696,89,82,903,1345,844,991,495,112,45,33,7,597,5537,0,0,10,10,14,10,4,0,0,0,0,180,221,125,156,1402,2430,1778,2674,1916,441,346,165,29,1552,13015,577,294,2472,9051,5299,11382,14658,7782,5866,5985,2153,8284,73800,6,9,0,10,17,111,881,1121,955,1047
108,932,908,140,278,66,11,237,2933,4,4,35,175,173,447,223,35,25,9,3,112,1248,4,0,8,29,40,99,90,15,19,7,0,40,347,3,0,0,10,5,32,36,28,7,19,5,44,189,26,11,121,426,362,683,342,52,22,10,8,259,2316,3,0,3,8,9,17,22,0,3,3,0,1236,1305,71,41,236,913,1042,3784,4888,1940,1147,1008,299,2815,18191,6,10,34,144,289,540,477,61,75,13,0,234,1881,0,33,205,664,524,464,160,10,20,4,4,249,2336,0,5,23,50,30,49,29,0,8,0,0,50,242,7,20,212,233,61,54,15,0,6,0,0,64,673,49,55,794,1372,830,774,224,36,17,8,4,523,4684,4,0,11,10,14,9,6,4,0,0,0,126,179,74,124,1280,2467,1740,1888,908,114,126,22,9,1247,9999,417,216,2523,10290,6328,11672,9923,3393,1926,1700,565,6375,55330,13,9,7,34,62,205,901,636,402,352
109,545,634,107,170,49,12,163,1919,0,0,18,59,52,148,72,13,12,7,0,41,419,4,3,0,3,20,32,43,11,15,4,0,25,158,0,0,0,4,6,12,26,16,6,13,0,31,124,9,0,37,144,102,189,119,17,14,10,3,88,738,5,0,0,6,7,9,10,0,0,4,0,730,767,54,18,145,354,472,1906,3160,1540,884,795,284,1788,11410,7,7,21,58,156,315,304,64,50,19,0,137,1130,4,18,111,310,217,216,79,10,9,0,0,99,1075,0,4,9,26,21,22,11,6,0,0,0,28,138,4,4,86,98,16,18,3,0,0,0,0,17,250,31,30,355,450,254,295,103,24,14,4,0,177,1725,4,0,8,4,5,3,3,0,0,0,0,85,109,52,66,591,939,668,871,511,103,72,21,6,545,4435,303,105,1178,3821,2423,5398,6276,2674,1410,1263,477,3595,28918,24,9,3,35,39,161,672,603,359,301
110,932,992,154,268,68,38,267,3097,3,5,25,126,92,252,122,29,10,10,0,71,747,4,0,4,22,26,82,65,14,19,6,5,47,284,5,3,4,0,3,28,50,11,9,18,10,48,186,25,9,108,329,223,411,210,39,14,11,6,217,1610,0,0,7,8,3,26,14,6,4,0,0,1209,1279,99,45,257,742,820,3229,4854,2147,1299,1189,437,3030,18151,9,13,48,129,287,539,439,83,75,25,6,222,1876,4,11,160,426,350,370,124,16,9,5,0,137,1612,0,3,23,57,31,32,25,3,6,0,0,43,217,16,16,179,172,64,30,7,0,0,0,0,45,540,43,59,697,959,563,597,192,36,23,5,6,400,3572,0,0,19,11,8,13,4,0,0,0,0,152,198,77,109,1119,1750,1297,1578,801,141,118,35,7,1003,8022,439,194,2079,6502,4008,8693,9314,3799,2091,2003,739,5939,45800,46,13,13,63,90,339,1127,925,546,516
