SA4_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
101,1269,1560,126,105,3060,243,223,465,3526,3089,333,6949,2824,733,114,110,3782,268,60,332,4109,560,309,4979,3100,522,117,98,3839,209,38,249,4080,500,312,4897,3247,486,125,101,3965,148,32,181,4142,455,275,4873,4331,609,151,110,5198,169,30,201,5392,603,334,6323,4692,702,171,150,5708,188,51,238,5951,730,430,7109,5027,774,184,132,6121,176,41,224,6342,909,416,7668,4871,960,227,131,6185,155,58,208,6400,1121,403,7929,3817,988,253,79,5141,144,67,216,5351,1676,412,7443,2560,1127,199,97,3974,117,78,198,4169,3126,377,7675,916,649,89,49,1712,13,22,36,1741,3886,297,5934,360,318,48,31,752,10,12,20,774,3489,303,4563,221,216,29,34,495,4,3,6,508,5683,664,6845,37237,9637,1836,1226,49930,1845,712,2563,52493,25821,4877,83187,984,1608,90,106,2785,181,237,420,3209,2885,401,6491,2646,1009,97,136,3887,303,93,396,4285,661,397,5342,3263,675,95,97,4136,230,43,269
102,1464,2399,183,159,4207,599,563,1160,5370,5061,488,10912,4166,1758,196,226,6342,721,180,904,7244,1073,422,8734,4912,903,173,185,6174,428,82,506,6682,645,437,7767,5314,745,206,166,6428,341,43,381,6806,664,387,7861,6427,868,223,178,7698,326,47,371,8067,802,493,9359,6688,919,229,201,8042,341,59,400,8442,945,485,9871,6882,990,241,189,8299,320,65,389,8685,1117,496,10302,6439,1054,278,183,7944,299,63,362,8310,1452,537,10300,5011,1118,280,133,6541,265,82,346,6888,2058,465,9408,2879,1261,223,83,4440,185,91,278,4721,3868,454,9042,860,762,87,29,1728,15,46,58,1789,5499,456,7740,182,345,34,12,574,3,11,14,596,5327,413,6335,69,159,31,23,275,4,5,13,291,10529,1269,12085,51295,13280,2371,1758,68702,3850,1330,5184,73881,39031,6797,119710,1262,2456,145,96,3962,431,631,1067,5026,4631,464,10118,4095,2157,158,195,6617,634,260,895,7508,1282,478,9264,5283,1128,161,148,6714,419,102,520
103,1358,1175,117,84,2734,259,205,464,3195,3360,342,6903,3225,729,105,116,4174,341,116,463,4635,962,366,5957,3433,411,92,111,4048,230,39,269,4318,591,270,5188,3442,353,99,113,4010,177,21,199,4212,588,308,5115,4021,382,134,125,4657,178,24,205,4859,620,341,5829,4258,434,141,125,4958,162,21,185,5140,779,345,6269,4395,544,152,129,5217,147,52,196,5420,894,318,6633,4365,603,195,111,5266,156,40,194,5463,1064,306,6820,3727,669,191,85,4675,141,49,188,4858,1231,353,6447,2427,768,159,83,3437,97,52,151,3588,2455,336,6373,987,592,86,37,1702,3,12,24,1720,3112,342,5178,400,328,36,36,805,0,3,3,803,2914,273,3987,247,255,41,39,578,0,0,3,585,5190,589,6367,36278,7231,1551,1204,46262,1895,642,2536,48801,23760,4493,77052,1031,1238,97,90,2461,255,259,514,2971,3229,489,6690,2773,867,105,112,3860,411,148,556,4417,1031,526,5978,3533,572,106,87,4298,258,49,306
104,610,1012,80,64,1762,247,207,452,2214,2088,182,4484,1237,540,81,71,1924,310,86,398,2322,535,165,3020,1416,350,73,55,1902,201,48,251,2149,415,150,2711,1550,346,58,43,2007,179,32,207,2215,402,110,2732,2012,484,90,67,2653,164,38,206,2854,483,165,3499,2149,557,99,64,2858,167,41,205,3069,554,183,3801,2390,612,111,62,3169,176,50,223,3393,761,197,4352,2428,745,124,66,3360,182,62,247,3608,999,198,4805,2133,738,166,64,3097,162,58,221,3315,1454,198,4972,1268,680,100,39,2086,131,66,193,2285,2367,186,4834,345,299,43,24,716,10,17,30,738,2930,159,3832,116,116,16,10,257,3,11,10,272,2517,164,2956,53,91,7,19,169,0,0,4,172,4467,460,5096,17697,6573,1051,641,25963,1931,718,2646,28613,19969,2525,51104,436,973,60,51,1520,251,208,462,1978,1915,255,4153,1296,665,51,57,2072,291,76,364,2436,488,248,3175,1587,490,55,58,2198,190,50,238
105,795,667,52,80,1595,191,120,307,1904,1741,239,3881,1690,307,47,70,2113,239,42,283,2395,503,209,3103,1928,218,63,88,2294,169,31,201,2492,431,185,3108,1822,185,69,65,2142,145,27,173,2315,340,168,2825,2130,223,69,71,2491,139,28,171,2666,428,203,3292,2240,287,84,75,2683,154,21,176,2862,467,232,3561,2446,297,75,61,2877,117,38,156,3036,594,237,3861,2535,327,89,71,3022,116,28,147,3170,702,261,4129,2044,362,101,63,2567,91,25,119,2685,877,224,3782,1406,393,107,48,1946,82,47,122,2069,1385,209,3670,606,266,32,35,941,3,7,13,951,1763,198,2907,254,159,24,23,462,0,7,8,472,1646,193,2312,179,125,25,27,353,0,3,4,359,2861,407,3625,20069,3812,837,777,25498,1447,425,1871,27368,13729,2965,44062,499,558,44,51,1151,158,126,282,1432,1659,244,3336,1535,385,48,73,2043,254,80,336,2375,605,297,3274,2030,288,58,50,2427,183,43,224
106,1789,1772,148,141,3851,385,305,695,4544,3509,423,8482,4312,1043,175,199,5728,433,78,518,6241,737,380,7358,4889,562,171,169,5792,262,44,303,6091,581,341,7013,5069,502,174,166,5913,235,35,273,6183,650,341,7176,5536,564,182,193,6477,206,40,241,6719,709,379,7805,5742,575,212,186,6722,197,32,224,6949,801,376,8123,5719,671,211,161,6761,178,41,217,6980,914,413,8311,5471,675,243,140,6534,151,45,196,6733,1121,397,8249,4268,797,235,118,5419,139,42,180,5598,1675,367,7645,2479,958,185,74,3695,97,48,149,3846,3254,375,7471,724,574,70,43,1410,12,19,30,1440,4309,315,6060,201,249,24,14,488,0,7,11,493,3579,301,4376,102,158,33,20,319,0,0,0,326,5729,646,6703,46313,9101,2058,1634,59099,2296,743,3038,62140,27572,5060,94775,1266,1977,113,82,3448,425,447,874,4320,3681,414,8417,3618,1411,143,145,5317,598,185,783,6098,1049,506,7648,4790,859,130,120,5901,382,84,464
107,1365,1966,183,135,3648,453,527,981,4626,4813,378,9816,3794,2042,254,214,6298,678,348,1024,7315,2079,473,9873,5070,1048,192,162,6474,421,123,541,7016,1101,450,8565,5369,807,220,140,6532,301,86,393,6924,739,349,8010,6213,808,247,152,7424,296,47,343,7768,826,370,8962,6165,774,245,163,7343,283,48,331,7677,934,376,8985,6395,902,260,196,7756,272,59,329,8086,1103,396,9576,6011,885,299,142,7330,267,54,315,7646,1282,392,9322,4456,863,293,122,5733,175,48,226,5953,1845,327,8123,2461,833,220,75,3582,124,66,197,3781,3590,348,7716,617,522,67,28,1235,9,19,27,1261,4580,286,6131,137,190,16,13,351,7,11,18,370,4333,293,4992,55,122,20,17,208,6,0,0,209,8020,789,9018,48115,11758,2503,1538,63916,3277,1437,4711,68632,35240,5229,109099,1251,2160,129,100,3644,353,735,1085,4732,4628,361,9717,3903,2631,180,188,6903,610,511,1120,8025,2312,519,10866,5113,1345,189,130,6780,390,171,564
108,809,1356,110,81,2355,309,246,553,2910,3139,253,6304,1702,649,88,99,2534,457,81,540,3073,664,248,3986,1809,482,84,77,2448,287,50,339,2790,570,181,3541,2113,479,101,64,2759,219,46,272,3032,580,194,3805,2770,578,122,102,3578,238,56,302,3871,771,219,4864,3127,701,124,109,4062,272,59,329,4392,926,271,5589,3427,819,147,111,4499,269,69,340,4840,1249,290,6373,3492,1052,178,108,4828,266,87,361,5185,1601,364,7154,2946,1086,214,71,4317,233,91,322,4644,2231,365,7237,1816,1096,160,49,3118,177,106,282,3398,4043,362,7801,602,603,74,24,1304,13,15,32,1329,5424,382,7143,205,229,25,10,475,8,15,18,495,4914,314,5728,106,191,24,19,340,4,6,9,349,8772,935,10055,24932,9325,1439,925,36616,2752,935,3683,40300,34889,4384,79579,652,1331,117,91,2191,278,277,558,2744,2892,351,5993,1696,805,110,104,2717,403,119,522,3240,782,308,4326,2056,616,93,77,2838,288,60,346
109,776,756,53,70,1656,153,128,277,1929,1820,207,3958,1676,386,68,86,2213,151,47,192,2408,336,189,2934,1879,232,72,58,2241,109,20,129,2372,228,160,2761,1967,225,64,42,2298,86,18,103,2398,214,145,2762,2254,225,80,67,2624,87,23,108,2727,261,145,3144,2382,247,91,74,2794,99,27,130,2920,295,179,3395,2529,248,84,63,2921,94,13,108,3028,357,175,3557,2714,332,98,75,3211,92,23,120,3332,445,185,3973,2205,445,130,50,2830,74,30,101,2933,660,196,3790,1486,532,111,60,2191,67,40,106,2296,1356,176,3833,568,322,72,30,984,6,10,18,1003,1869,175,3044,198,178,19,23,421,0,5,10,422,1891,175,2492,132,117,25,22,298,0,4,11,302,3394,424,4119,20754,4250,966,714,26679,1003,393,1395,28075,13137,2534,43748,601,823,47,57,1526,118,122,240,1767,1514,233,3509,1614,502,51,75,2242,199,67,269,2512,383,296,3190,1861,342,49,59,2311,122,26,147
110,1083,1152,113,100,2450,260,209,471,2920,2942,340,6203,2600,603,102,92,3396,310,134,444,3838,937,313,5098,2852,411,102,79,3447,260,54,310,3756,488,276,4518,2885,340,84,71,3385,195,40,237,3619,509,275,4406,3291,403,88,118,3898,176,44,212,4111,528,265,4905,3554,491,113,120,4280,170,33,205,4483,656,315,5453,3732,512,140,116,4499,176,35,216,4709,770,312,5792,3815,596,159,123,4686,160,51,215,4895,928,338,6166,3344,642,152,93,4242,130,51,182,4423,1176,332,5932,2280,689,130,62,3155,108,71,175,3336,2066,293,5699,921,536,83,41,1580,9,18,31,1609,2813,276,4695,391,295,32,34,758,0,8,14,774,2679,259,3704,275,207,40,31,543,0,6,6,553,4490,568,5608,31027,6879,1336,1079,40315,1967,749,2716,43033,20980,4162,68180,862,1215,83,91,2252,256,205,463,2709,2812,466,5988,2390,749,87,110,3334,335,145,475,3813,978,443,5238,2995,502,94,90,3676,235,62,296
