SA4_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
101,4406,562,403,5374,3678,603,125,104,4503,170,41,211,4708,555,404,5667,3680,515,110,91,4401,160,39,190,4596,630,382,5606,4471,748,140,96,5459,168,40,207,5664,711,514,6892,4746,785,166,93,5794,172,44,210,6005,902,575,7478,4830,898,226,104,6051,181,64,246,6300,1116,602,8013,4164,1152,248,91,5648,174,70,245,5895,1859,585,8346,2583,1197,204,70,4060,152,104,260,4322,3006,581,7903,1165,839,116,43,2167,24,38,59,2224,5060,622,7912,421,394,46,30,894,14,9,19,914,4204,479,5595,277,286,45,57,663,4,8,14,676,6695,1021,8391,36906,10717,1698,1126,50446,1918,829,2753,53200,28845,6967,89015,1197,1920,189,89,3395,114,221,335,3735,2545,418,6696,2836,1268,136,98,4344,181,112,289,4633,666,378,5678,3786,937,140,153,5013,170,67,241,5251,649,484,6388,4505,840,167,130,5641,138,45,183,5826,584,464,6872,4637,731,176,128,5665,110,30,143,5807,626,417,6852,4234,651,178,95
102,7238,794,464,8495,5985,928,168,138,7220,303,63,366,7591,699,456,8750,6139,892,196,163,7387,271,45,318,7708,817,452,8981,6893,990,153,134,8175,308,63,372,8549,970,537,10053,6800,1088,181,150,8227,329,57,382,8612,1220,581,10414,6628,1182,234,113,8158,332,83,410,8573,1531,541,10638,5608,1333,267,90,7295,293,110,410,7700,2147,583,10432,3266,1319,224,84,4894,233,138,371,5266,3803,550,9619,1104,979,88,49,2216,36,57,90,2306,6532,570,9409,281,495,28,22,826,9,19,29,853,6446,540,7840,115,227,17,33,389,5,9,17,406,11761,1418,13581,53461,15177,2021,1423,72083,3606,1646,5250,77334,42635,7631,127601,1313,2650,808,92,4860,263,498,761,5617,4426,479,10523,3283,2391,867,145,6685,437,195,634,7322,1598,461,9383,4595,1675,608,164,7049,371,90,461,7510,1171,547,9235,5245,1431,620,187,7486,264,51,315,7808,1048,530,9385,6021,1416,589,132,8159,211,70,276,8431,1022,505,9965,5888,1424,512,130
103,4599,738,470,5808,3717,513,96,104,4426,207,58,264,4693,656,430,5778,3571,415,110,101,4196,195,41,232,4424,687,407,5519,3933,467,107,84,4597,210,41,248,4842,769,474,6097,4080,522,129,95,4831,211,46,258,5084,947,560,6588,4013,626,147,95,4883,203,55,257,5135,1066,571,6776,3757,708,173,74,4712,194,70,266,4980,1413,589,6977,2420,835,158,59,3472,141,66,210,3681,2258,529,6461,1107,617,87,40,1850,18,24,39,1887,3849,575,6309,459,426,57,36,975,4,9,13,985,3492,522,5004,329,322,38,56,745,6,8,14,759,5973,900,7636,34713,8132,1410,1040,45297,2295,872,3163,48459,26101,7046,81603,1246,1636,177,78,3139,149,198,337,3481,2765,432,6682,2918,972,120,129,4140,245,103,355,4495,869,444,5806,3732,663,149,122,4662,167,51,215,4879,724,399,6000,4098,602,169,97,4967,133,48,178,5144,680,445,6267,4064,570,130,91,4851,142,37,184,5034,649,477,6164,3778,456,108,82
104,2438,411,230,3074,1734,475,54,54,2318,155,41,196,2512,408,222,3141,1845,424,67,35,2363,134,28,169,2533,395,217,3142,2209,516,56,51,2834,165,44,206,3043,530,281,3850,2178,532,81,55,2849,134,42,178,3025,647,276,3947,2254,675,102,64,3090,156,54,204,3298,968,313,4577,2031,849,122,46,3053,163,71,237,3287,1372,427,5085,1368,831,126,40,2371,113,82,201,2565,2382,366,5315,495,492,47,20,1056,11,27,38,1099,3558,371,5026,155,213,28,10,406,3,10,8,413,3072,288,3776,93,128,10,30,263,3,3,5,264,5134,689,6090,17697,7258,859,572,26385,1770,735,2506,28895,21277,4176,54349,540,1240,121,41,1941,118,179,302,2240,1605,252,4101,1322,741,76,66,2207,175,82,254,2461,607,221,3291,1718,619,84,69,2484,142,66,212,2696,590,252,3533,2002,604,97,77,2782,136,54,194,2970,602,310,3879,2167,595,96,71,2923,94,39,128,3056,619,284,3955,2018,546,87,64
105,2650,507,346,3506,1998,251,68,56,2373,150,36,181,2560,451,303,3319,1825,220,48,45,2144,129,19,149,2298,398,269,2954,1952,253,51,58,2313,126,31,159,2471,476,309,3254,2078,294,54,70,2490,143,38,179,2668,497,339,3503,2165,337,84,49,2639,125,22,140,2780,713,370,3865,2135,381,105,51,2667,136,44,181,2844,851,396,4090,1401,393,102,38,1932,80,50,129,2058,1234,337,3631,718,325,53,32,1136,8,13,22,1158,1954,341,3451,268,203,20,25,518,0,5,5,524,1795,290,2603,222,164,20,37,449,3,5,11,458,3180,493,4131,18829,4049,753,637,24270,1499,504,2005,26275,14316,4336,44925,645,730,57,48,1488,107,86,192,1681,1292,441,3408,1447,398,58,70,1970,123,53,170,2146,513,375,3038,2183,391,94,81,2748,119,32,150,2906,469,422,3800,2265,352,87,72,2783,76,30,102,2884,469,425,3780,2042,293,78,54,2473,75,20,95,2567,453,358,3375,1779,216,62,44
106,6366,823,503,7691,5142,722,170,107,6139,305,61,367,6509,804,522,7831,5162,683,159,128,6135,286,56,343,6474,833,479,7782,5492,703,181,121,6489,295,47,343,6832,996,519,8347,5461,788,183,126,6554,310,47,359,6921,1022,572,8509,5267,846,203,111,6431,282,61,343,6778,1247,545,8571,4525,982,268,88,5859,262,68,330,6182,1870,538,8596,2608,1026,189,88,3915,213,80,290,4208,3204,548,7957,886,721,82,38,1730,21,36,59,1786,5361,522,7667,271,353,24,20,671,4,12,16,684,4781,488,5953,168,223,24,32,448,4,6,10,456,6929,908,8290,44654,11298,1869,1206,59029,3391,1196,4581,63613,32599,7062,103272,1682,2300,363,103,4453,322,436,757,5209,3525,469,9202,4100,1603,277,152,6136,374,182,549,6689,1173,467,8325,5259,1222,275,151,6902,317,93,411,7313,1054,485,8854,5957,995,284,171,7408,222,52,276,7680,1024,537,9244,5846,893,304,151,7193,181,38,217,7409,1054,440,8908,5494,846,246,125
107,7344,1295,505,9135,5905,905,182,138,7132,270,89,359,7489,775,467,8735,5963,832,169,105,7068,256,70,318,7392,853,399,8642,6455,910,164,116,7638,258,64,320,7954,985,437,9379,6104,849,209,120,7273,259,65,318,7593,1138,454,9183,6002,1059,237,110,7405,256,63,318,7725,1491,501,9721,4936,1080,262,83,6362,256,83,337,6703,2185,487,9372,2489,1089,181,58,3814,150,101,251,4067,3629,449,8145,747,659,70,33,1507,21,38,59,1570,5623,434,7630,178,296,16,28,515,6,10,17,534,4991,420,5944,89,150,16,23,281,5,12,14,298,9142,989,10434,49132,13965,2010,1230,66332,3089,2000,5089,71422,39049,6427,116894,1220,2166,740,58,4187,245,459,700,4890,4403,408,9703,3681,2633,972,149,7436,475,306,778,8218,2115,513,10836,5315,1894,665,180,8048,365,139,507,8557,1237,497,10288,5654,1473,555,154,7839,244,90,333,8166,974,472,9618,6081,1270,483,119,7951,174,52,227,8171,940,421,9528,5788,1210,468,99
108,3188,653,299,4134,2240,576,109,66,2995,194,55,253,3243,636,272,4160,2415,581,93,81,3177,199,47,252,3432,697,269,4397,3025,687,127,83,3916,211,44,257,4175,962,356,5495,3206,832,139,94,4275,238,62,300,4575,1109,428,6106,3308,1004,156,94,4565,263,73,337,4900,1533,501,6932,3096,1133,200,83,4524,275,124,397,4919,2250,579,7752,1970,1234,195,67,3463,247,111,363,3826,3826,549,8202,768,772,84,42,1659,19,29,47,1709,6559,646,8914,257,343,36,38,675,5,18,23,693,6132,586,7416,173,201,24,44,440,10,6,16,455,9967,1318,11744,24853,10118,1492,971,37427,2635,1029,3664,41097,37996,6462,85557,954,1769,151,95,2961,193,240,433,3400,2445,419,6267,1947,1017,119,105,3190,294,131,424,3609,886,333,4835,2296,808,116,91,3309,231,81,315,3622,785,347,4750,2610,682,96,87,3477,202,53,253,3727,747,318,4804,2782,748,122,85,3733,164,41,204,3939,780,379,5094,2826,756,143,90
109,2460,249,263,2968,2063,273,78,50,2464,114,20,136,2598,237,246,3086,1960,278,43,49,2323,99,12,115,2434,254,219,2911,2209,265,67,49,2588,90,25,114,2701,332,258,3289,2278,315,60,57,2710,122,24,154,2864,407,276,3552,2307,338,91,56,2798,115,28,139,2935,493,287,3716,2248,470,119,58,2886,106,38,141,3033,740,327,4094,1554,520,124,47,2241,86,49,135,2381,1279,334,3987,630,426,63,47,1165,12,19,31,1197,2390,347,3932,249,215,29,14,508,5,5,13,525,2174,281,2980,144,163,22,25,359,0,4,8,362,3919,635,4916,19712,4919,846,640,26123,1191,454,1645,27766,14372,3999,46135,689,939,85,70,1785,89,119,208,1998,1335,268,3602,1685,561,50,55,2351,126,58,180,2538,350,260,3152,2191,432,64,73,2761,108,45,150,2916,292,308,3517,2143,359,62,60,2632,66,14,82,2713,230,278,3224,2202,335,77,52,2673,71,17,89,2760,243,270,3280,2130,356,61,37
110,3972,580,416,4967,3098,470,106,69,3741,185,56,241,3978,482,411,4877,2898,415,82,68,3466,141,39,182,3648,545,418,4608,3298,455,91,84,3929,162,51,208,4138,635,425,5196,3414,532,87,95,4129,179,38,221,4351,759,442,5552,3538,633,105,73,4348,163,43,203,4553,866,478,5892,3247,731,158,80,4219,142,52,192,4416,1226,538,6178,2369,746,136,66,3318,153,73,223,3547,1882,548,5969,1098,587,76,40,1808,15,24,34,1847,3202,515,5566,474,360,29,42,902,3,8,8,911,3052,456,4418,345,273,47,50,727,5,3,10,731,5153,816,6697,30032,7662,1184,961,39847,1985,781,2769,42613,22166,6369,71154,1027,1421,99,76,2619,123,191,311,2931,2252,589,5771,2406,807,93,106,3418,248,121,374,3783,757,624,5172,3208,602,105,105,4017,206,65,276,4291,568,552,5406,3254,553,105,100,4007,143,39,188,4197,494,550,5240,3268,485,100,68,3921,107,42,147,4067,515,522,5111,2967,469,80,69
