Australian Bureau of Statistics

"2021 Census - employment, income and education"
"UNCAREP Unpaid Assistance to a Person with a Disability, Health Condition, or due to Old Age and VOLWP Voluntary Work for an Organisation or Group by SA1 (UR) by AGE10P Age in Ten Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" No unpaid assistance provided,  Not a volunteer"
"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"SA1 (UR)",
"Segment 01",0,25636,41319,38747,43590,44876,38984,32307,16264,4880,149,286751,
"Segment 02",0,46313,65282,66723,80920,80304,65178,48071,22687,6815,196,482492,
"Segment 03",0,22108,31510,32319,38743,42612,39656,33864,16437,4745,148,262145,
"Segment 04",0,39174,52350,61485,71445,67232,47762,28388,9826,1839,42,379541,
"Segment 05",0,33544,46592,48524,57221,60960,53868,38056,14236,2853,71,355924,
"Segment 06",0,33567,55584,74304,65127,49028,28755,14637,4470,768,11,326246,
"Segment 07",0,28295,48274,61023,56156,39769,25342,12690,4093,756,16,276412,
"Segment 08",0,22216,101594,121450,75551,59826,47077,35076,16899,5055,170,484909,
"Segment 09",0,20693,42881,46785,43219,40966,36801,25252,13578,3415,68,273663,
"Segment 10",0,19345,47485,63876,47786,35007,29050,20906,10068,2285,42,275850,
"Segment 11",0,34183,61230,65477,64043,61631,52676,39900,20121,4860,119,404230,
"Segment 12",0,32257,51372,56144,56163,57860,44166,26704,9088,1808,45,335608,
"Segment 13",0,43233,129769,177406,97523,59964,45659,31536,10851,1973,48,597962,
"Segment 14",0,34664,88415,102271,73775,57060,40130,24220,10531,2808,81,433964,
"Segment 15",0,11229,48067,67818,33025,18092,12842,6505,2474,476,11,200535,
"Segment 16",0,10627,131580,131856,49824,30070,22670,13212,5089,1099,30,396041,
"Segment 17",0,19654,49925,56004,43973,35564,28523,17622,7015,1529,41,259855,
"Segment 18",0,10710,83108,61692,27180,20593,15991,10554,5259,1286,31,236409,
"Segment 19",0,29432,57891,67857,57999,53244,41979,27378,11187,2545,61,349556,
"Segment 20",0,36786,67974,78481,72828,69389,62082,48641,25137,6870,177,468360,
"Segment 21",0,11348,57278,47829,26197,22159,19873,16370,8897,2564,68,212592,
"Segment 22",0,10649,58711,64090,33870,22619,17955,10772,5466,1228,33,225390,
"Segment 23",0,18727,43879,47083,39597,37081,32237,30544,22767,6263,187,278350,
"Segment 24",0,25092,40796,47582,47177,48068,44160,34242,15314,3808,115,306358,
"Segment 25",0,26228,82997,94278,64937,54499,45738,33054,18841,5577,166,426307,
"Segment 26",0,23601,54191,55815,44929,39050,32015,20059,10275,2397,63,282390,
"Segment 27",0,33267,77338,77933,61249,56581,49590,33552,15984,3527,91,409106,
"Segment 28",0,17298,40403,37204,31858,31701,27196,17036,7719,1810,47,212274,
"Segment 29",0,23510,57691,56532,44711,42652,37455,28079,14022,3415,79,308147,
"Segment 30",0,26618,61915,62044,49398,48767,42309,32453,15817,4065,111,343497,
"Segment 31",0,32902,119907,102089,65075,60144,51619,37531,20634,6595,204,496689,
