Australian Bureau of Statistics

"2021 Census - employment, income and education"
"LFSP Labour Force Status and YARRP Year of Arrival in Australia (ranges) by SA1 (UR) by 1-digit level BPLP Country of Birth of Person"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" Employed, worked full-time,  Arrived 1905 - 1950"
"1-digit level BPLP Country of Birth of Person","Oceania and Antarctica","North-West Europe","Southern and Eastern Europe","North Africa and the Middle East","South-East Asia","North-East Asia","Southern and Central Asia","Americas","Sub-Saharan Africa","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"Segment 01",0,61,37,3,3,4,0,0,3,0,0,117,
"Segment 02",8,55,17,3,0,0,0,0,0,0,0,92,
"Segment 03",0,71,33,8,0,0,6,4,0,0,0,126,
"Segment 04",0,21,8,0,0,0,0,0,0,0,0,38,
"Segment 05",0,27,15,0,0,0,5,0,0,0,0,51,
"Segment 06",0,11,0,0,0,0,0,0,0,0,0,8,
"Segment 07",0,0,5,0,0,0,0,0,0,0,0,5,
"Segment 08",0,40,16,3,0,4,0,0,0,0,0,69,
"Segment 09",0,28,10,3,0,0,0,0,0,0,0,31,
"Segment 10",0,11,12,0,0,0,0,0,0,0,0,20,
"Segment 11",0,24,7,0,0,0,0,0,0,0,0,34,
"Segment 12",0,20,0,0,0,0,4,0,0,0,0,26,
"Segment 13",0,9,0,0,0,0,0,0,0,0,0,17,
"Segment 14",0,7,0,0,0,0,0,0,0,0,0,17,
"Segment 15",0,4,0,0,0,0,0,0,0,0,0,4,
"Segment 16",0,11,6,0,0,0,0,0,0,0,0,14,
"Segment 17",0,7,0,0,0,0,0,0,0,0,0,6,
"Segment 18",0,5,6,0,0,0,0,0,0,0,0,17,
"Segment 19",0,20,5,0,0,0,0,0,0,0,0,27,
"Segment 20",0,28,9,0,0,0,0,0,0,0,0,37,
"Segment 21",0,12,7,0,0,0,0,0,0,0,0,21,
"Segment 22",0,6,6,0,0,0,0,0,0,0,0,12,
"Segment 23",0,12,18,0,0,0,0,0,0,0,0,31,
"Segment 24",0,15,5,0,0,0,0,0,0,0,0,24,
"Segment 25",0,18,5,0,0,0,0,0,0,0,0,30,
"Segment 26",0,11,3,3,0,0,0,0,0,0,0,14,
"Segment 27",0,13,0,0,4,0,0,0,0,0,0,19,
"Segment 28",0,11,4,0,0,0,0,0,0,0,0,18,
"Segment 29",5,9,4,0,0,0,0,0,0,0,0,14,
"Segment 30",0,14,0,0,0,0,0,0,0,0,0,19,
"Segment 31",0,15,7,0,0,0,0,0,0,0,0,20,
"Segment 32",0,8,0,0,0,0,0,0,0,0,0,14,
"Segment 33",0,9,0,0,0,0,0,0,0,0,0,12,
"Segment 34",0,16,0,0,0,0,0,0,0,0,0,20,
"Segment 35",0,33,4,0,0,5,0,0,0,0,0,39,
"Segment 36",0,16,3,0,0,0,0,0,0,0,0,18,
"Segment 37",0,17,6,4,0,0,0,0,0,0,0,28,
"Segment 38",0,24,9,5,0,0,0,0,0,0,0,40,
"Segment 39",0,11,9,0,0,0,0,0,0,0,0,23,
"Segment 40",0,7,6,0,0,0,0,0,0,0,0,16,
"Segment 41",0,9,7,0,0,0,0,0,0,0,0,17,
"Segment 42",0,7,0,0,0,0,0,0,0,0,0,5,
"Segment 43",0,14,21,0,0,0,0,0,0,0,0,38,
"Segment 44",0,40,9,0,0,0,0,3,0,0,0,59,
"Segment 45",0,14,3,0,0,0,0,0,0,0,0,21,
"Segment 46",5,21,6,0,0,0,3,0,0,0,0,34,
"Segment 47",0,4,0,0,0,0,0,0,0,0,0,4,
"Segment 48",0,8,0,0,0,0,0,0,0,0,0,7,
"Segment 50",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",27,842,336,41,26,19,30,17,9,8,0,1365,


" Employed, worked full-time,  Arrived 1951 - 1960"
"1-digit level BPLP Country of Birth of Person","Oceania and Antarctica","North-West Europe","Southern and Eastern Europe","North Africa and the Middle East","South-East Asia","North-East Asia","Southern and Central Asia","Americas","Sub-Saharan Africa","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"Segment 01",27,246,264,41,20,17,8,9,10,0,0,652,
"Segment 02",32,328,262,23,20,16,6,19,11,0,0,718,
"Segment 03",31,232,212,39,18,10,15,16,9,0,0,584,
"Segment 04",23,223,97,4,13,3,6,6,8,0,0,389,
"Segment 05",23,269,178,13,16,3,7,5,10,3,0,522,
"Segment 06",3,116,45,3,4,0,0,0,4,0,0,178,
"Segment 07",3,61,59,5,0,3,0,4,0,0,0,138,
"Segment 08",30,270,189,33,10,5,0,21,8,0,0,560,
"Segment 09",7,71,113,23,9,13,0,3,0,0,0,234,
"Segment 10",3,110,110,10,9,5,0,0,6,0,0,249,
"Segment 11",20,174,208,36,9,4,5,4,7,0,0,477,
"Segment 12",10,251,70,0,5,3,5,5,3,0,0,360,
"Segment 13",10,113,74,0,6,3,3,0,0,0,0,212,
"Segment 14",14,153,55,8,14,0,0,3,0,0,0,256,
"Segment 15",0,31,26,0,4,0,0,0,0,0,0,68,
"Segment 16",7,72,49,12,6,6,0,0,0,0,0,154,
"Segment 17",7,73,49,5,0,0,0,0,0,0,0,138,
"Segment 18",6,91,61,0,9,0,3,3,7,0,0,188,
"Segment 19",5,168,59,5,3,4,3,6,4,0,0,264,
"Segment 20",20,318,190,21,17,0,4,18,4,0,0,595,
"Segment 21",13,108,69,10,6,0,0,7,4,0,0,215,
"Segment 22",4,35,24,3,6,0,0,0,5,0,0,70,
"Segment 23",5,79,352,22,4,0,0,7,3,0,0,468,
"Segment 24",15,219,50,0,11,6,0,0,0,0,0,307,
"Segment 25",10,176,163,10,12,0,3,6,3,0,0,382,
"Segment 26",0,40,54,0,3,0,0,0,0,0,0,115,
"Segment 27",4,77,96,12,6,8,3,0,0,0,0,204,
"Segment 28",6,34,65,0,4,0,0,0,0,0,0,103,
"Segment 29",11,144,56,0,8,0,6,0,0,0,0,219,
"Segment 30",9,182,54,3,10,0,0,4,0,0,0,255,
"Segment 31",22,158,62,8,10,3,6,0,0,0,0,273,
"Segment 32",0,74,33,10,4,0,0,0,0,0,0,122,
"Segment 33",12,160,39,5,11,0,0,5,5,0,0,230,
"Segment 34",9,211,57,9,9,3,3,0,5,0,0,310,
"Segment 35",15,226,90,4,8,4,6,3,8,0,0,363,
"Segment 36",8,180,40,0,3,0,5,0,0,0,0,245,
"Segment 37",17,252,64,3,11,0,0,4,5,0,0,358,
"Segment 38",9,224,71,3,8,6,5,7,9,0,0,330,
"Segment 39",0,65,23,0,3,4,0,0,4,0,0,98,
"Segment 40",7,109,67,3,3,3,0,6,4,0,0,198,
"Segment 41",3,43,47,0,0,0,0,0,3,0,0,101,
"Segment 42",4,40,17,0,0,0,0,0,0,0,0,65,
"Segment 43",6,85,97,0,3,0,0,3,4,0,0,207,
"Segment 44",18,250,57,3,6,3,4,13,9,0,0,366,
"Segment 45",6,121,32,5,0,0,6,4,0,0,0,168,
"Segment 46",4,134,38,0,5,0,0,7,3,0,0,189,
"Segment 47",0,22,5,0,0,0,0,0,0,0,0,34,
"Segment 48",0,24,0,0,0,0,0,4,0,0,0,32,
"Segment 50",0,12,0,0,0,0,0,0,0,0,0,15,
"Total",514,6852,4213,415,318,159,125,216,172,20,0,13003,


" Employed, worked full-time,  Arrived 1961 - 1970"
"1-digit level BPLP Country of Birth of Person","Oceania and Antarctica","North-West Europe","Southern and Eastern Europe","North Africa and the Middle East","South-East Asia","North-East Asia","Southern and Central Asia","Americas","Sub-Saharan Africa","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"Segment 01",233,1297,583,140,178,79,125,148,88,3,0,2877,
"Segment 02",299,2341,1085,218,187,60,178,202,189,14,0,4767,
"Segment 03",178,1168,501,144,117,46,72,122,73,8,0,2430,
"Segment 04",254,2354,586,85,130,31,100,130,101,9,0,3787,
"Segment 05",235,2316,840,120,133,25,126,136,127,11,0,4071,
"Segment 06",109,1737,301,37,78,11,54,48,51,4,0,2426,
"Segment 07",32,689,537,133,50,9,63,40,45,3,0,1600,
"Segment 08",245,1633,698,135,126,49,114,181,117,6,0,3297,
"Segment 09",85,414,533,158,78,69,66,42,34,0,0,1478,
"Segment 10",78,676,507,151,54,24,57,44,47,5,0,1641,
"Segment 11",107,1231,1602,270,106,59,164,83,93,9,0,3722,
"Segment 12",163,2346,485,69,84,12,64,48,82,4,0,3352,
"Segment 13",96,1341,492,72,61,5,58,42,53,4,0,2218,
"Segment 14",192,1632,353,42,95,10,54,75,87,7,0,2555,
"Segment 15",23,321,195,43,13,0,20,16,23,0,0,647,
"Segment 16",90,545,213,84,59,32,43,48,35,0,0,1155,
"Segment 17",57,887,274,72,90,17,65,46,54,4,0,1557,
"Segment 18",92,502,228,44,54,15,31,56,31,4,0,1055,
"Segment 19",136,1835,369,44,89,17,48,72,64,3,0,2664,
