Australian Bureau of Statistics

"2021 Census - employment, income and education"
"1-digit level HEAP Level of Highest Educational Attainment and 1-digit level OCCP Occupation by SA1 (UR) by 1-digit level BPLP Country of Birth of Person"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" Postgraduate Degree Level,  Managers"
"1-digit level BPLP Country of Birth of Person","Oceania and Antarctica","North-West Europe","Southern and Eastern Europe","North Africa and the Middle East","South-East Asia","North-East Asia","Southern and Central Asia","Americas","Sub-Saharan Africa","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"Segment 01",6455,1427,287,209,412,947,659,402,381,11,11,11193,
"Segment 02",9412,2275,426,274,418,847,817,554,562,20,12,15616,
"Segment 03",5233,1413,300,147,166,523,279,407,393,18,16,8896,
"Segment 04",4318,963,170,116,180,327,500,253,306,10,7,7161,
"Segment 05",4064,987,218,172,171,373,481,225,273,12,6,6973,
"Segment 06",1377,278,82,67,119,163,623,100,181,0,0,2993,
"Segment 07",923,127,56,136,220,312,2068,77,157,3,11,4080,
"Segment 08",9032,2581,727,265,476,754,787,933,412,19,27,16020,
"Segment 09",1700,326,151,207,550,2491,1225,120,141,9,4,6933,
"Segment 10",2199,473,166,283,259,558,1343,198,173,4,11,5675,
"Segment 11",2840,462,221,271,455,1127,1359,184,180,11,7,7116,
"Segment 12",1385,274,80,38,72,91,239,78,112,3,0,2368,
"Segment 13",1577,304,107,156,295,382,2659,134,293,8,4,5924,
"Segment 14",3225,548,150,77,147,195,507,216,180,4,5,5247,
"Segment 15",632,124,68,92,173,147,1878,68,102,6,5,3288,
"Segment 16",3145,1074,504,390,801,2144,1949,664,218,14,14,10926,
"Segment 17",863,228,101,102,373,276,1006,82,112,11,4,3145,
"Segment 18",3581,607,192,107,289,536,633,329,126,10,9,6415,
"Segment 19",1959,414,105,54,113,162,355,138,120,4,4,3428,
"Segment 20",4541,839,212,97,211,364,481,255,202,5,5,7216,
"Segment 21",2850,786,152,71,258,388,265,290,103,6,11,5180,
"Segment 22",792,169,113,195,336,1169,1506,115,85,4,4,4492,
"Segment 23",2403,352,149,114,181,295,468,134,78,5,5,4197,
"Segment 24",1643,392,47,17,39,32,92,90,98,0,6,2459,
"Segment 25",3467,606,225,160,355,624,1065,231,198,12,9,6958,
"Segment 26",482,90,53,145,217,300,1217,41,56,0,3,2600,
"Segment 27",828,102,94,261,272,407,1266,64,73,0,3,3374,
"Segment 28",495,61,42,20,175,52,170,24,25,0,0,1068,
"Segment 29",599,96,41,44,82,106,368,55,36,6,6,1431,
"Segment 30",563,92,46,26,84,117,322,40,38,3,3,1339,
"Segment 31",1805,319,110,76,186,251,805,192,118,3,11,3869,
"Segment 32",833,182,67,49,104,121,239,57,49,0,9,1705,
"Segment 33",1619,202,30,15,27,19,62,42,51,0,3,2071,
"Segment 34",2153,298,41,16,34,43,68,58,54,0,13,2779,
"Segment 35",1925,331,46,20,40,70,84,95,80,4,8,2700,
"Segment 36",1439,133,15,5,23,35,109,36,23,0,5,1823,
"Segment 37",1821,221,43,16,64,56,237,81,65,0,10,2621,
"Segment 38",1367,254,54,29,47,81,158,85,67,4,14,2159,
"Segment 39",356,70,7,5,11,21,34,12,18,0,3,536,
"Segment 40",779,112,23,15,32,42,122,35,48,0,5,1213,
"Segment 41",216,37,4,0,0,0,16,8,0,0,4,289,
"Segment 42",255,46,5,0,0,11,25,9,8,0,4,362,
"Segment 43",611,95,18,10,21,30,67,17,22,0,8,893,
"Segment 44",2074,293,39,11,25,37,68,85,49,0,21,2689,
"Segment 45",594,89,8,3,12,8,38,22,15,0,9,799,
"Segment 46",760,89,18,10,15,12,53,23,36,0,5,1024,
"Segment 47",131,18,0,0,0,0,9,3,7,0,0,183,
"Segment 48",139,16,7,0,9,4,41,3,4,0,10,230,
"Segment 50",41,11,0,0,0,0,0,4,0,0,0,59,
"Total",101519,21262,5805,4605,8537,17072,28843,7388,6141,230,336,201726,


" Postgraduate Degree Level,  Professionals"
"1-digit level BPLP Country of Birth of Person","Oceania and Antarctica","North-West Europe","Southern and Eastern Europe","North Africa and the Middle East","South-East Asia","North-East Asia","Southern and Central Asia","Americas","Sub-Saharan Africa","Supplementary codes","Not stated","Total",
"SA1 (UR)",
"Segment 01",16538,3231,769,717,1417,2477,2301,1074,1004,36,54,29624,
"Segment 02",20638,4249,1062,798,1272,2812,2088,1313,1296,54,46,35626,
"Segment 03",11881,2556,626,395,590,1096,649,835,820,39,44,19534,
"Segment 04",10351,2102,466,410,533,1015,1430,634,756,19,24,17745,
"Segment 05",9888,2012,516,472,645,1383,1258,571,678,39,17,17477,
"Segment 06",4080,743,205,302,406,483,1874,257,633,12,7,8997,
"Segment 07",2679,297,251,561,830,1017,5870,193,483,15,21,12223,
"Segment 08",25464,5927,2036,937,1714,2688,2736,2645,1234,99,46,45522,
"Segment 09",5321,664,414,707,1604,8142,2960,340,306,41,31,20531,
"Segment 10",6782,956,535,1026,941,1871,3649,525,519,23,15,16844,
"Segment 11",8395,1104,657,966,1606,3996,3597,497,532,29,34,21414,
"Segment 12",5051,847,210,176,252,332,660,243,279,11,15,8079,
"Segment 13",6412,857,368,830,1354,1271,8195,497,1346,29,26,21184,
"Segment 14",10480,1504,497,333,646,840,1792,784,716,21,26,17645,
"Segment 15",2814,294,252,429,720,883,6162,251,437,13,10,12274,
"Segment 16",10179,2700,1674,1895,3315,10659,7620,1927,651,58,67,40745,
"Segment 17",3018,550,291,467,1568,1156,3205,268,456,11,15,11002,
"Segment 18",12024,2052,764,776,1597,2968,3161,1283,498,33,42,25206,
"Segment 19",6274,1066,306,260,430,659,1130,400,366,19,15,10925,
"Segment 20",13504,2151,651,438,821,1383,1612,876,572,39,32,22062,
"Segment 21",9881,2119,720,316,1006,1813,1150,942,303,32,35,18308,
"Segment 22",3172,503,467,736,1496,5124,5316,382,277,31,27,17535,
"Segment 23",7738,941,465,471,723,1235,1486,446,280,19,27,13834,
"Segment 24",5898,1151,184,76,148,174,298,339,264,8,13,8557,
"Segment 25",11796,1726,860,701,1554,2473,3561,947,648,37,34,24330,
