Australian Bureau of Statistics

"2021 Census - employment, income and education"
"1-digit level HEAP Level of Highest Educational Attainment and LFSP Labour Force Status by SA1 (UR) by YARRP Year of Arrival in Australia (ranges)"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" Postgraduate Degree Level,  Employed, worked full-time"
"YARRP Year of Arrival in Australia (ranges)","Arrived 1905 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2020","Arrived 1 January 2021 - 10 August 2021","Total",
"SA1 (UR)",
"Segment 01",25,120,596,1144,2080,2929,4797,4151,86,15930,
"Segment 02",12,92,702,1207,2353,3832,6764,4832,59,19863,
"Segment 03",15,83,384,734,1390,1861,2826,2644,60,9998,
"Segment 04",0,28,265,480,962,1759,4024,2519,19,10065,
"Segment 05",10,48,323,500,1100,1829,3701,2282,26,9815,
"Segment 06",0,3,91,155,357,969,3415,2168,11,7167,
"Segment 07",0,7,46,136,515,2032,7189,5149,18,15096,
"Segment 08",17,91,535,1023,2338,3525,6994,12395,204,27121,
"Segment 09",9,20,175,491,2012,4108,8492,5382,40,20724,
"Segment 10",0,21,149,295,904,2031,5408,5596,55,14468,
"Segment 11",4,31,238,515,1590,3157,7166,5325,39,18061,
"Segment 12",0,22,104,177,330,571,1660,1089,8,3955,
"Segment 13",0,14,80,145,458,1400,10478,11066,54,23691,
"Segment 14",4,20,171,291,608,1177,3769,4014,34,10085,
"Segment 15",0,9,25,76,299,908,5684,8630,43,15676,
"Segment 16",3,22,149,346,1345,3119,10132,25557,390,41065,
"Segment 17",0,7,69,180,687,1614,4780,4615,29,11982,
"Segment 18",4,35,191,362,910,1690,3838,9819,103,16952,
"Segment 19",0,19,127,240,457,847,2465,2264,16,6437,
"Segment 20",0,47,323,518,976,1536,3942,3874,23,11236,
"Segment 21",5,48,198,335,702,1145,2365,5669,113,10586,
"Segment 22",0,7,43,128,642,1819,6401,11558,100,20711,
"Segment 23",0,30,180,344,772,1194,2614,3168,24,8322,
"Segment 24",0,22,137,220,328,444,1067,987,11,3221,
"Segment 25",5,26,229,437,1062,2008,5828,8357,59,18014,
"Segment 26",0,8,48,138,537,1608,4439,4432,27,11234,
"Segment 27",0,8,71,216,797,2041,5067,5324,34,13564,
"Segment 28",0,4,40,94,316,511,1173,1501,12,3641,
"Segment 29",0,4,46,79,230,451,1674,2113,13,4611,
"Segment 30",0,8,56,72,180,370,1605,2357,10,4665,
"Segment 31",4,24,117,228,454,959,3067,7767,84,12690,
"Segment 32",0,10,65,100,279,585,1274,1859,22,4184,
"Segment 33",0,8,76,123,197,258,631,516,3,1821,
"Segment 34",0,13,152,193,274,336,767,591,7,2315,
"Segment 35",4,25,136,205,290,412,909,815,8,2800,
"Segment 36",0,19,100,113,185,241,585,878,13,2125,
"Segment 37",0,26,121,157,269,414,1245,2610,24,4856,
"Segment 38",3,19,135,157,240,382,931,1424,27,3315,
"Segment 39",0,4,21,20,56,82,159,200,0,549,
"Segment 40",0,4,58,77,134,261,688,794,10,2031,
"Segment 41",0,0,13,21,30,32,126,111,3,340,
"Segment 42",5,5,19,22,29,46,104,180,0,407,
"Segment 43",0,5,40,54,59,117,311,476,0,1070,
"Segment 44",7,19,120,178,220,260,509,537,13,1855,
"Segment 45",4,11,41,42,53,54,138,170,0,510,
"Segment 46",4,4,44,41,69,90,251,403,6,909,
"Segment 47",0,0,3,6,19,15,74,126,3,248,
"Segment 48",0,4,12,16,27,46,109,278,5,499,
"Segment 50",0,0,6,4,11,9,19,26,0,77,
"Total",148,1086,7094,12850,30140,57090,151643,188589,1930,450574,


" Postgraduate Degree Level,  Employed, worked part-time"
"YARRP Year of Arrival in Australia (ranges)","Arrived 1905 - 1950","Arrived 1951 - 1960","Arrived 1961 - 1970","Arrived 1971 - 1980","Arrived 1981 - 1990","Arrived 1991 - 2000","Arrived 2001 - 2010","Arrived 2011 - 2020","Arrived 1 January 2021 - 10 August 2021","Total",
"SA1 (UR)",
"Segment 01",55,155,312,557,861,908,1493,1292,18,5642,
"Segment 02",31,104,291,455,956,1089,1819,1429,17,6183,
"Segment 03",47,128,233,352,615,629,841,688,4,3540,
"Segment 04",3,27,125,179,322,463,1069,715,10,2906,
"Segment 05",4,54,157,242,448,567,1022,739,5,3245,
"Segment 06",4,0,20,47,130,271,891,851,6,2214,
"Segment 07",0,3,24,29,178,494,1763,1687,3,4176,
"Segment 08",36,126,233,399,746,990,1776,3589,22,7912,
"Segment 09",4,30,72,173,711,1229,2499,1863,13,6595,
"Segment 10",12,27,75,118,321,526,1415,2137,5,4622,
"Segment 11",12,48,99,185,535,824,1876,1861,9,5442,
"Segment 12",4,6,49,68,134,199,550,463,0,1477,
"Segment 13",5,11,34,52,168,375,2621,4497,18,7776,
"Segment 14",5,23,60,111,220,326,945,1559,5,3254,
"Segment 15",0,0,16,19,78,246,1385,3559,11,5316,
"Segment 16",11,29,77,161,316,720,2286,7739,64,11402,
"Segment 17",4,8,33,57,203,443,1319,2069,6,4151,
"Segment 18",8,24,86,131,281,416,930,4798,23,6703,
"Segment 19",0,12,48,74,192,256,750,845,3,2183,
"Segment 20",8,46,165,217,423,481,1174,1705,6,4240,
"Segment 21",17,64,105,162,262,359,721,2387,20,4109,
"Segment 22",0,8,20,60,221,487,1749,4893,19,7448,
"Segment 23",0,28,78,110,289,384,830,1627,3,3356,
"Segment 24",4,26,104,135,158,148,371,399,0,1346,
"Segment 25",12,43,111,168,361,571,1659,4065,16,7002,
"Segment 26",4,0,22,48,181,425,1236,2297,4,4210,
"Segment 27",0,8,25,62,299,606,1565,2880,11,5452,
"Segment 28",0,3,16,37,114,153,309,1061,0,1691,
"Segment 29",0,7,31,41,82,169,584,1117,3,2039,
"Segment 30",6,3,27,38,80,149,615,1426,7,2362,
"Segment 31",4,18,59,83,210,280,1016,4278,15,5953,
"Segment 32",3,18,24,43,106,189,448,967,6,1793,
"Segment 33",0,13,36,53,87,84,210,212,0,695,
"Segment 34",10,31,88,96,156,128,295,254,4,1052,
"Segment 35",5,35,98,115,181,200,321,331,0,1297,
"Segment 36",5,23,53,76,92,93,212,406,0,956,
"Segment 37",0,16,64,72,121,125,400,1338,13,2146,
