Australian Bureau of Statistics

"2021 Census - employment, income and education"
"AGE10P Age in Ten Year Groups and 1-digit level BPLP Country of Birth of Person by SA1 (UR) by TYPP Type of Educational Institution Attending"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" 0-9 years,  Oceania and Antarctica"
"TYPP Type of Educational Institution Attending","Preschool","Primary - Government","Primary - Catholic","Primary - other non-Government","Primary - not further defined","Secondary - Government","Secondary - Catholic","Secondary - other non-Government","Secondary - not further defined","Tertiary - Vocational education (including TAFE and private training providers)","Tertiary - University or other higher education","Tertiary - not further defined","Other","Not applicable","Total",
"SA1 (UR)",
"Segment 01",8368,13734,4428,5647,37,0,0,0,0,0,0,0,593,12672,45479,
"Segment 02",17549,30904,9607,5820,57,0,0,0,0,0,0,0,1312,25437,90683,
"Segment 03",7839,12243,3482,4843,33,0,0,0,0,0,0,0,423,11303,40165,
"Segment 04",14896,28376,8907,5304,46,0,0,0,0,0,0,0,1437,25124,84090,
"Segment 05",12210,23167,6840,4481,53,0,0,0,0,0,0,0,1028,19454,67238,
"Segment 06",15656,30243,8685,6233,70,0,0,0,0,0,0,0,1767,31259,93921,
"Segment 07",11645,21658,6846,4156,64,0,0,0,0,0,0,0,977,23144,68492,
"Segment 08",12113,18128,4534,3238,24,0,0,0,0,0,0,0,884,24473,63402,
"Segment 09",7960,15583,3028,2324,31,0,0,0,0,0,0,0,635,13181,42740,
"Segment 10",10521,17036,5682,3323,38,0,0,0,0,0,0,0,822,21534,58960,
"Segment 11",13063,22520,8048,3682,47,0,0,0,0,0,0,0,952,22390,70708,
"Segment 12",11843,23343,6481,4530,64,0,0,0,0,0,0,0,1245,22612,70125,
"Segment 13",31353,49559,14987,9747,138,0,0,0,0,0,0,0,3484,75894,185161,
"Segment 14",17995,33923,9871,4491,91,0,0,0,0,0,0,0,2332,39200,107902,
"Segment 15",8650,12704,3732,2178,29,0,0,0,0,0,0,0,807,22396,50493,
"Segment 16",5438,6620,1509,1041,18,0,0,0,0,0,0,0,577,17635,32842,
"Segment 17",7964,15433,4322,2925,39,0,0,0,0,0,0,0,731,19255,50670,
"Segment 18",3488,5231,1319,764,13,0,0,0,0,0,0,0,305,9244,20359,
"Segment 19",12970,24887,7225,3442,59,0,0,0,0,0,0,0,1476,26780,76844,
"Segment 20",15896,27858,9302,4063,60,0,0,0,0,0,0,0,1364,28888,87432,
"Segment 21",3462,5970,1158,1161,9,0,0,0,0,0,0,0,225,7127,19110,
"Segment 22",5485,8865,1735,1239,25,0,0,0,0,0,0,0,511,13907,31763,
"Segment 23",7987,11573,5811,1860,29,0,0,0,0,0,0,0,534,14627,42418,
"Segment 24",9848,20152,4833,3649,27,0,0,0,0,0,0,0,1070,18663,58247,
"Segment 25",12431,20614,6404,2895,48,0,0,0,0,0,0,0,1215,27085,70693,
"Segment 26",8554,15578,5159,3324,64,0,0,0,0,0,0,0,697,20898,54267,
"Segment 27",12191,21267,7159,4633,96,0,0,0,0,0,0,0,1001,29737,76073,
"Segment 28",4951,10595,3960,1193,56,0,0,0,0,0,0,0,598,12981,34340,
"Segment 29",9693,20673,4515,2592,52,0,0,0,0,0,0,0,1144,23651,62323,
"Segment 30",9734,22452,4934,3212,44,0,0,0,0,0,0,0,1264,24966,66608,
"Segment 31",11176,23356,4435,2538,47,0,0,0,0,0,0,0,1405,31407,74369,
"Segment 32",7091,16937,3021,1824,56,0,0,0,0,0,0,0,598,18282,47802,
"Segment 33",14505,26442,8485,3847,52,0,0,0,0,0,0,0,1231,25994,80555,
"Segment 34",10851,20334,6541,3554,31,0,0,0,0,0,0,0,780,18300,60385,
"Segment 35",8196,15408,4696,2632,33,0,0,0,0,0,0,0,558,14551,46067,
"Segment 36",15357,29344,8488,3476,54,0,0,0,0,0,0,0,1180,29707,87599,
"Segment 37",18185,36227,9855,3999,57,0,0,0,0,0,0,0,1898,39942,110167,
"Segment 38",7669,15677,3816,2305,28,0,0,0,0,0,0,0,595,16135,46226,
"Segment 39",2050,4295,1292,772,4,0,0,0,0,0,0,0,179,4442,13024,
"Segment 40",4732,10358,2813,2072,26,0,0,0,0,0,0,0,490,10916,31395,
"Segment 41",2061,5454,2190,609,11,0,0,0,0,0,0,0,407,5888,16618,
"Segment 42",1230,2662,594,535,0,0,0,0,0,0,0,0,73,2628,7724,
"Segment 43",4158,8730,2662,1332,20,0,0,0,0,0,0,0,350,9059,26309,
"Segment 44",9546,19950,6161,3154,35,0,0,0,0,0,0,0,684,20086,59616,
"Segment 45",3312,7276,2140,1061,3,0,0,0,0,0,0,0,215,7246,21258,
"Segment 46",5602,12221,3475,1420,22,0,0,0,0,0,0,0,380,12608,35732,
"Segment 47",728,2003,380,236,0,0,0,0,0,0,0,0,69,1976,5397,
"Segment 48",2751,8811,1343,419,5,0,0,0,0,0,0,0,192,8824,22343,
"Segment 50",292,725,184,138,0,0,0,0,0,0,0,0,29,773,2139,
"Total",461248,857105,247066,143888,1950,0,0,0,0,0,0,0,42720,964285,2718266,


" 0-9 years,  North-West Europe"
"TYPP Type of Educational Institution Attending","Preschool","Primary - Government","Primary - Catholic","Primary - other non-Government","Primary - not further defined","Secondary - Government","Secondary - Catholic","Secondary - other non-Government","Secondary - not further defined","Tertiary - Vocational education (including TAFE and private training providers)","Tertiary - University or other higher education","Tertiary - not further defined","Other","Not applicable","Total",
"SA1 (UR)",
"Segment 01",173,483,103,208,0,0,0,0,0,0,0,0,16,132,1101,
"Segment 02",293,1030,169,176,0,0,0,0,0,0,0,0,17,170,1856,
"Segment 03",158,403,69,170,0,0,0,0,0,0,0,0,10,99,907,
