Australian Bureau of Statistics

"2021 Census - selected dwelling characteristics"
"HIND Total Household Income (weekly) and STRD Dwelling Structure by SA1 (EN) by TEND Tenure Type"
"Counting: Dwelling Records"

Filters:
"Default Summation","Dwelling Records"

" Negative income,  Separate house"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",233,70,3,42,6,0,8,360,
"Segment 02",426,89,0,57,4,0,11,596,
"Segment 03",280,65,0,44,6,5,4,402,
"Segment 04",270,100,0,52,0,0,3,429,
"Segment 05",339,67,0,47,12,0,14,477,
"Segment 06",140,79,0,105,5,0,5,331,
"Segment 07",132,61,0,107,8,0,5,322,
"Segment 08",115,32,0,33,7,0,3,191,
"Segment 09",172,63,0,74,4,3,8,328,
"Segment 10",162,75,0,96,6,4,3,344,
"Segment 11",382,90,0,119,6,6,11,607,
"Segment 12",275,120,4,86,5,0,10,496,
"Segment 13",309,162,0,294,12,10,17,804,
"Segment 14",195,76,0,199,5,0,9,491,
"Segment 15",50,30,0,72,6,0,0,162,
"Segment 16",5,4,0,4,0,0,0,7,
"Segment 17",157,45,0,109,5,0,0,332,
"Segment 18",26,19,0,14,0,0,4,67,
"Segment 19",283,98,3,136,10,7,14,545,
"Segment 20",474,97,0,132,6,0,16,731,
"Segment 21",108,20,0,29,3,0,5,163,
"Segment 22",51,18,0,43,0,0,0,115,
"Segment 23",412,70,0,95,8,0,11,600,
"Segment 24",298,78,0,96,6,4,11,486,
"Segment 25",282,56,0,161,6,6,14,528,
"Segment 26",183,55,0,196,3,0,3,444,
"Segment 27",354,138,0,323,16,4,11,847,
"Segment 28",183,59,3,149,4,0,14,418,
"Segment 29",263,90,0,248,12,4,10,628,
"Segment 30",287,113,0,246,9,5,7,678,
"Segment 31",182,40,0,194,6,0,9,435,
"Segment 32",116,44,0,377,8,12,3,563,
"Segment 33",296,83,3,93,11,0,6,487,
"Segment 34",442,79,0,67,7,0,11,612,
"Segment 35",637,91,0,90,10,0,11,846,
"Segment 36",662,105,0,226,9,0,11,1019,
"Segment 37",596,128,3,424,13,10,8,1180,
"Segment 38",759,69,4,212,17,31,17,1103,
"Segment 39",172,42,0,38,8,0,9,268,
"Segment 40",231,59,0,86,10,0,9,396,
"Segment 41",220,71,0,37,14,0,6,345,
"Segment 42",88,18,0,16,7,0,5,130,
"Segment 43",232,60,0,57,4,5,5,356,
"Segment 44",862,214,9,136,32,5,17,1268,
"Segment 45",331,104,0,57,18,0,5,520,
"Segment 46",526,140,0,95,22,0,8,801,
"Segment 47",84,22,0,15,7,4,0,133,
"Segment 48",44,9,0,116,6,0,0,175,
"Segment 50",17,11,0,14,0,0,4,37,
"Total",13360,3543,56,5741,372,137,385,23600,


" Negative income,  Semi-detached, row or terrace house, townhouse etc. with one storey"
"TEND Tenure Type","Owned outright","Owned with a mortgage","Purchased under a shared equity scheme","Rented","Occupied rent free","Occupied under a life tenure scheme","Other","Total",
"SA1 (EN)",
"Segment 01",21,0,0,8,4,5,0,41,
"Segment 02",33,6,0,25,0,3,0,63,
"Segment 03",25,9,0,10,0,4,0,45,
"Segment 04",3,0,0,5,0,0,0,12,
"Segment 05",5,3,0,0,0,0,0,10,
"Segment 06",3,0,0,4,0,0,0,9,
"Segment 07",10,0,0,5,0,0,0,12,
"Segment 08",47,8,0,34,0,0,0,93,
"Segment 09",15,0,0,10,4,0,0,33,
"Segment 10",14,3,0,31,0,0,0,47,
"Segment 11",35,3,0,18,0,0,0,58,
"Segment 12",3,0,0,5,0,0,0,9,
"Segment 13",14,6,0,31,0,0,0,52,
"Segment 14",20,6,0,56,0,0,0,84,
"Segment 15",0,10,0,16,0,0,0,29,
"Segment 16",0,0,0,0,0,0,0,3,
"Segment 17",19,4,0,25,0,5,0,54,
"Segment 18",4,4,0,22,0,0,0,31,
"Segment 19",11,0,0,21,0,0,0,30,
"Segment 20",48,8,0,38,0,8,0,103,
"Segment 21",21,0,0,13,0,6,4,47,
"Segment 22",4,8,0,6,0,0,0,16,
"Segment 23",32,7,0,37,0,0,0,78,
"Segment 24",28,0,0,16,0,3,3,55,
"Segment 25",49,11,0,98,0,5,0,172,
"Segment 26",9,5,0,35,0,0,0,49,
"Segment 27",25,5,0,47,0,0,0,89,
"Segment 28",9,0,0,29,0,0,0,42,
"Segment 29",29,4,0,76,0,3,3,121,
"Segment 30",33,5,0,62,0,8,0,109,
"Segment 31",50,8,0,138,4,3,0,207,
"Segment 32",15,0,0,133,0,7,0,148,
"Segment 33",6,0,0,7,0,0,0,13,
"Segment 34",0,0,0,6,0,0,0,10,
"Segment 35",15,10,0,5,0,3,0,34,
"Segment 36",37,5,0,63,0,0,0,101,
"Segment 37",54,6,0,138,5,9,3,210,
"Segment 38",149,8,7,99,5,48,9,325,
