GCCSA_CODE_2021,C11_Budh_0_14,C11_Budh_15_24,C11_Budh_25_34,C11_Budh_35_44,C11_Budh_45_54,C11_Budh_55_64,C11_Budh_65_74,C11_Budh_75_84,C11_Budh_85ov,C11_Budh_Tot,C11_C_Ang_0_14,C11_C_Ang_15_24,C11_C_Ang_25_34,C11_C_Ang_35_44,C11_C_Ang_45_54,C11_C_Ang_55_64,C11_C_Ang_65_74,C11_C_Ang_75_84,C11_C_Ang_85ov,C11_C_Ang_Tot,C11_C_As_Apo_0_14,C11_C_As_Apo_15_24,C11_C_As_Apo_25_34,C11_C_As_Apo_35_44,C11_C_As_Apo_45_54,C11_C_As_Apo_55_64,C11_C_As_Apo_65_74,C11_C_As_Apo_75_84,C11_C_As_Apo_85ov,C11_C_As_Apo_Tot,C11_C_Bap_0_14,C11_C_Bap_15_24,C11_C_Bap_25_34,C11_C_Bap_35_44,C11_C_Bap_45_54,C11_C_Bap_55_64,C11_C_Bap_65_74,C11_C_Bap_75_84,C11_C_Bap_85ov,C11_C_Bap_Tot,C11_C_Breth_0_14,C11_C_Breth_15_24,C11_C_Breth_25_34,C11_C_Breth_35_44,C11_C_Breth_45_54,C11_C_Breth_55_64,C11_C_Breth_65_74,C11_C_Breth_75_84,C11_C_Breth_85ov,C11_C_Breth_Tot,C11_C_Cath_0_14,C11_C_Cath_15_24,C11_C_Cath_25_34,C11_C_Cath_35_44,C11_C_Cath_45_54,C11_C_Cath_55_64,C11_C_Cath_65_74,C11_C_Cath_75_84,C11_C_Cath_85ov,C11_C_Cath_Tot,C11_C_Ch_Chr_0_14,C11_C_Ch_Chr_15_24,C11_C_Ch_Chr_25_34,C11_C_Ch_Chr_35_44,C11_C_Ch_Chr_45_54,C11_C_Ch_Chr_55_64,C11_C_Ch_Chr_65_74,C11_C_Ch_Chr_75_84,C11_C_Ch_Chr_85ov,C11_C_Ch_Chr_Tot,C11_C_E_Orth_0_14,C11_C_E_Orth_15_24,C11_C_E_Orth_25_34,C11_C_E_Orth_35_44,C11_C_E_Orth_45_54,C11_C_E_Orth_55_64,C11_C_E_Orth_65_74,C11_C_E_Orth_75_84,C11_C_E_Orth_85ov,C11_C_E_Orth_Tot,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot,C11_C_La_Da_Sai_0_14,C11_C_La_Da_Sai_15_24,C11_C_La_Da_Sai_25_34,C11_C_La_Da_Sai_35_44,C11_C_La_Da_Sai_45_54,C11_C_La_Da_Sai_55_64,C11_C_La_Da_Sai_65_74,C11_C_La_Da_Sai_75_84,C11_C_La_Da_Sai_85ov,C11_C_La_Da_Sai_Tot,C11_C_Luth_0_14,C11_C_Luth_15_24,C11_C_Luth_25_34,C11_C_Luth_35_44,C11_C_Luth_45_54,C11_C_Luth_55_64,C11_C_Luth_65_74,C11_C_Luth_75_84,C11_C_Luth_85ov,C11_C_Luth_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_Tot,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Se_da_Adv_0_14,C11_C_Se_da_Adv_15_24,C11_C_Se_da_Adv_25_34,C11_C_Se_da_Adv_35_44,C11_C_Se_da_Adv_45_54,C11_C_Se_da_Adv_55_64,C11_C_Se_da_Adv_65_74,C11_C_Se_da_Adv_75_84,C11_C_Se_da_Adv_85ov,C11_C_Se_da_Adv_Tot,C11_C_Uni_Ch_0_14,C11_C_Uni_Ch_15_24,C11_C_Uni_Ch_25_34,C11_C_Uni_Ch_35_44,C11_C_Uni_Ch_45_54,C11_C_Uni_Ch_55_64,C11_C_Uni_Ch_65_74,C11_C_Uni_Ch_75_84,C11_C_Uni_Ch_85ov,C11_C_Uni_Ch_Tot,C11_Chr_Ch_nfd_0_14,C11_Chr_Ch_nfd_15_24,C11_Chr_Ch_nfd_25_34,C11_Chr_Ch_nfd_35_44,C11_Chr_Ch_nfd_45_54,C11_Chr_Ch_nfd_55_64,C11_Chr_Ch_nfd_65_74,C11_Chr_Ch_nfd_75_84,C11_Chr_Ch_nfd_85ov,C11_Chr_Ch_nfd_Tot,C11_Chr_Oth_Ch_0_14,C11_Chr_Oth_Ch_15_24,C11_Chr_Oth_Ch_25_34,C11_Chr_Oth_Ch_35_44,C11_Chr_Oth_Ch_45_54,C11_Chr_Oth_Ch_55_64,C11_Chr_Oth_Ch_65_74,C11_Chr_Oth_Ch_75_84,C11_Chr_Oth_Ch_85ov,C11_Chr_Oth_Ch_Tot
1GSYD,26222,24371,32584,30899,31191,20866,8225,4650,1407,180426,112162,72278,76957,102612,103350,98971,70437,46705,24489,707959,1673,1272,1278,1169,1333,957,574,330,73,8672,11592,8455,8857,8918,9622,7704,4753,2769,1376,64044,850,658,508,388,419,352,251,216,105,3750,259028,164555,166013,180251,168929,134465,89507,56903,21545,1241199,858,594,608,660,784,695,449,254,134,5022,34249,19688,22160,31470,24103,19561,18384,11609,2834,184048,2066,1429,1947,2036,1826,1616,1101,604,235,12859,3634,2118,1869,1609,1395,985,433,229,69,12347,1640,1253,1928,2394,2471,2394,2427,1673,786,16967,4579,3155,3666,2881,3084,2616,1777,922,235,22920,2720,2234,2213,1939,2081,1460,812,486,228,14170,11001,8399,8024,7296,6628,4408,1661,652,149,48232,12157,9443,10720,14733,17284,16701,12018,8343,4309,105716,1141,831,799,930,1094,1144,869,605,263,7682,2408,1534,1675,1637,1582,1313,837,483,244,11698,19347,15435,12905,15432,17949,17144,12544,8742,4707,124206,16623,11775,12172,10739,10278,7290,3501,1693,688,74755,1099,803,869,951,1019,837,512,298,138,6526
1RNSW,2759,2508,3012,3812,3877,3127,950,260,58,20371,104747,64413,57501,84089,98224,102297,82180,53475,21484,668420,0,0,6,4,3,9,3,0,0,28,6534,3996,3534,4370,5054,5140,3915,2232,892,35671,1007,733,474,382,374,228,205,149,70,3618,139631,86766,66472,83087,93428,79731,60257,37388,12273,659027,376,290,181,292,454,468,420,272,108,2870,4671,2839,3091,4174,3708,3771,2934,1841,489,27508,1984,1122,1325,1393,1595,1634,1106,634,258,11055,914,511,478,513,534,444,344,191,62,4003,2205,1435,1244,1872,2456,2456,2196,1615,583,16062,210,106,152,101,94,61,25,11,0,771,928,551,573,562,602,510,381,224,112,4446,5430,3535,2772,2846,3502,2832,1447,626,145,23133,9586,6975,6417,11610,17580,20265,16966,11643,4884,105938,1796,1302,925,1271,1664,1705,1381,833,296,11181,2205,1495,1228,1381,1530,1465,1171,892,359,11721,19451,14463,10926,15572,22469,24052,19993,13680,5904,146511,11675,7020,5520,6150,6910,5903,3459,1593,558,48787,488,310,283,382,423,452,323,176,62,2892
19499,17,33,64,44,34,35,7,3,4,239,168,217,325,279,292,347,255,64,36,1980,0,0,5,0,0,0,0,0,0,5,14,29,32,21,29,24,12,0,0,159,0,0,0,0,0,0,0,0,0,0,195,346,435,355,301,290,146,48,22,2139,0,0,6,0,0,0,0,0,0,9,14,13,15,25,22,12,19,3,0,127,3,7,9,10,10,8,4,0,0,44,4,29,3,6,9,4,5,0,0,63,8,16,10,5,3,7,3,0,0,59,0,4,3,4,5,0,0,0,0,16,9,6,8,9,4,0,10,0,0,30,18,20,30,23,12,20,10,0,0,148,13,27,42,37,47,87,51,12,3,324,4,5,3,8,10,8,6,0,0,49,4,11,13,9,10,5,0,5,0,62,22,34,49,48,44,78,72,11,9,363,20,41,57,40,33,43,20,3,0,252,4,0,3,11,5,0,0,0,0,27
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,25416,25572,30455,27213,24346,15846,5810,3082,927,158661,56148,40317,39726,61444,67716,66384,49252,33516,16864,431357,397,276,241,277,254,160,91,45,12,1750,10870,7912,7912,8263,8299,6740,4558,2754,1318,58621,514,445,320,217,284,224,195,134,67,2406,210950,143927,141423,162196,154212,118895,82454,55611,19320,1088989,1280,907,848,1023,1235,1422,1188,774,393,9060,39066,22899,24576,39301,29661,23406,23916,14729,2898,220456,1588,1101,1590,1622,1486,1461,960,628,223,10650,2490,1564,1242,1178,1068,747,360,205,76,8922,2949,2164,2508,3323,3463,2969,2993,2347,977,23701,2561,1648,1983,1692,1647,1180,721,355,108,11892,1755,1762,1760,1659,1641,1209,707,516,283,11285,8000,5943,5477,5576,5190,3625,1639,681,185,36313,7192,6470,6298,9097,13807,16611,12696,8868,4395,85434,1006,740,720,873,1086,1242,975,714,313,7673,1480,1049,1113,1060,999,825,599,408,190,7721,17575,14200,12106,16331,20515,20896,15758,11724,6137,135243,16047,11901,11806,11026,9701,7605,3817,1749,605,74251,859,629,665,765,773,628,470,314,166,5277
2RVIC,1327,1349,1642,1858,1755,1296,427,88,29,9774,28844,19274,15883,26996,35365,38976,30371,20384,8530,224624,4,0,0,0,0,0,0,0,0,7,3499,2267,1886,2271,2752,2725,2036,1163,525,19119,565,442,266,237,260,133,119,99,41,2168,70237,44816,34776,44472,48114,41551,30064,18070,6355,338460,708,427,322,442,692,929,721,467,197,4898,1727,1133,1007,1626,1617,1416,1141,722,168,10557,790,413,580,546,667,651,442,303,108,4499,483,316,255,250,296,259,161,93,24,2127,3017,1851,1645,2088,2580,2443,2022,1493,615,17742,74,33,81,52,45,23,12,7,0,335,385,265,213,296,330,306,201,131,67,2198,2154,1374,1031,1251,1501,1407,909,405,124,10159,4158,3338,2627,5304,9473,12165,9860,6745,2931,56608,802,462,367,616,780,895,700,497,160,5277,516,283,255,332,317,347,304,194,88,2634,13785,9779,7083,11710,18095,20171,16847,12291,5716,115483,6114,3561,2987,3322,3581,3250,1857,834,246,25762,148,117,91,149,157,182,151,92,31,1114
29499,15,37,63,38,20,13,3,0,0,197,77,88,97,123,106,117,82,29,5,718,0,0,0,0,0,0,0,0,0,0,15,17,28,21,14,24,8,0,0,115,0,0,0,0,0,0,0,0,0,0,144,223,308,203,170,127,85,30,16,1300,5,0,0,8,0,0,5,0,0,15,17,24,17,30,20,9,3,0,0,123,4,0,6,0,4,7,0,0,0,26,7,19,4,3,5,5,0,0,0,35,5,3,9,0,8,3,9,3,3,53,4,0,6,4,3,0,0,0,0,16,7,0,5,9,0,4,0,0,0,21,9,17,18,9,5,0,5,0,0,63,9,22,18,25,27,44,21,3,9,172,0,0,0,4,0,4,9,0,0,23,3,0,0,0,0,0,0,0,0,16,15,31,34,33,37,32,20,8,4,211,37,25,57,45,13,19,9,6,0,206,0,0,0,0,4,0,3,0,0,7
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,6174,6690,8517,7356,6391,4562,1683,660,192,42223,55773,36816,36415,54075,54856,51076,35584,20403,8878,353866,12,11,9,3,7,3,0,0,0,51,9904,6792,6544,6928,6919,5468,3404,1673,799,48445,383,243,238,186,192,231,174,136,73,1869,106047,71030,67040,73454,67945,53659,33038,19046,7057,498320,647,456,375,491,570,584,433,251,118,3921,4124,2980,2876,3570,3602,2601,2008,1272,425,23458,1926,1332,1570,1536,1549,1328,793,504,162,10698,3956,2229,1891,1573,1267,879,423,218,53,12489,6566,4292,3964,4854,4687,4104,3010,1921,719,34120,327,184,239,182,141,83,27,13,3,1205,1288,1048,1012,900,912,681,411,243,90,6585,7454,5498,4771,4465,4403,3320,1598,679,162,32346,7105,5286,5727,9050,11616,12366,8102,5087,2353,66686,940,727,658,863,1025,1042,766,465,177,6660,1963,1259,1182,1178,1046,916,600,366,169,8688,19245,14276,12851,17037,18852,18421,13023,7467,3505,124677,13858,9434,8744,8022,7411,5597,2817,1171,442,57505,1319,834,872,892,856,755,530,319,128,6504
3RQLD,3177,2831,4363,4639,4062,3035,1082,278,73,23538,74765,44368,43172,63910,70683,70267,53429,29764,11434,461784,11,6,3,6,9,3,0,0,0,39,8309,4799,4555,5256,5587,4934,3167,1481,530,38632,739,438,307,314,343,223,232,120,47,2756,114954,71043,64137,74515,74874,61081,41995,22883,6998,532484,1056,577,465,742,856,901,728,408,177,5908,1927,1282,1262,1813,1738,1305,1099,654,192,11262,2851,1638,1842,2098,2121,1902,1328,676,232,14687,1930,1011,951,877,736,639,388,169,58,6764,8599,5157,4848,5766,6423,5686,4707,2837,891,44900,94,104,93,80,70,65,31,16,9,547,1202,753,704,827,804,698,505,259,85,5845,8212,4977,3988,4461,4653,3632,1849,784,191,32744,7448,5066,5484,10262,15294,17789,12958,7885,3054,85223,1210,748,750,976,1155,1240,918,554,183,7738,1851,1055,1017,1096,1127,1037,778,496,193,8652,22848,14586,13867,19524,23995,24149,18014,10163,3888,151043,16258,9604,8535,8491,8809,6873,4068,1596,506,64740,895,505,510,637,658,619,432,296,85,4650
